gwtportlets(27),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
3,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
4,0.07407407407407407,0.037037037037037035,0.0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.07407407407407407
5,0.07407407407407407,0.037037037037037035,0.14814814814814814,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
6,0.07407407407407407,0.037037037037037035,0.14814814814814814,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.14814814814814814,0.14814814814814814,0.14814814814814814
7,0.1111111111111111,0.037037037037037035,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.18518518518518517,0.18518518518518517,0.1111111111111111,0.18518518518518517,0.18518518518518517,0.18518518518518517
8,0.1111111111111111,0.037037037037037035,0.14814814814814814,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.14814814814814814,0.2222222222222222,0.18518518518518517,0.2222222222222222
9,0.25925925925925924,0.037037037037037035,0.14814814814814814,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.2222222222222222,0.18518518518518517,0.18518518518518517,0.25925925925925924,0.2222222222222222,0.25925925925925924
10,0.25925925925925924,0.037037037037037035,0.18518518518518517,0.2222222222222222,0.2222222222222222,0.18518518518518517,0.2222222222222222,0.18518518518518517,0.18518518518518517,0.25925925925925924,0.25925925925925924,0.25925925925925924
11,0.25925925925925924,0.037037037037037035,0.18518518518518517,0.25925925925925924,0.25925925925925924,0.2222222222222222,0.25925925925925924,0.2222222222222222,0.2222222222222222,0.2962962962962963,0.2962962962962963,0.2962962962962963
12,0.2962962962962963,0.037037037037037035,0.18518518518518517,0.2962962962962963,0.2962962962962963,0.2222222222222222,0.2962962962962963,0.25925925925925924,0.2222222222222222,0.2962962962962963,0.3333333333333333,0.3333333333333333
13,0.2962962962962963,0.037037037037037035,0.18518518518518517,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2962962962962963,0.2962962962962963,0.25925925925925924,0.2962962962962963,0.37037037037037035,0.37037037037037035
14,0.2962962962962963,0.07407407407407407,0.18518518518518517,0.37037037037037035,0.37037037037037035,0.2222222222222222,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.3333333333333333,0.37037037037037035,0.4074074074074074
15,0.2962962962962963,0.07407407407407407,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.2222222222222222,0.3333333333333333,0.2962962962962963,0.3333333333333333,0.3333333333333333,0.4074074074074074,0.4074074074074074
16,0.2962962962962963,0.07407407407407407,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.2222222222222222,0.37037037037037035,0.3333333333333333,0.37037037037037035,0.37037037037037035,0.4074074074074074,0.4074074074074074
17,0.3333333333333333,0.07407407407407407,0.37037037037037035,0.4074074074074074,0.4074074074074074,0.2222222222222222,0.4074074074074074,0.37037037037037035,0.37037037037037035,0.4074074074074074,0.4444444444444444,0.4074074074074074
