argouml(12),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
3,0.08333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
4,0.08333333333333333,0.0,0.0,0.25,0.25,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25
5,0.08333333333333333,0.0,0.0,0.25,0.25,0.0,0.16666666666666666,0.16666666666666666,0.25,0.25,0.25,0.25
6,0.08333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.25,0.25,0.25,0.25,0.3333333333333333,0.3333333333333333
7,0.08333333333333333,0.0,0.0,0.4166666666666667,0.4166666666666667,0.0,0.3333333333333333,0.25,0.3333333333333333,0.25,0.4166666666666667,0.3333333333333333
8,0.08333333333333333,0.0,0.0,0.4166666666666667,0.4166666666666667,0.0,0.3333333333333333,0.25,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.4166666666666667
9,0.08333333333333333,0.0,0.25,0.4166666666666667,0.4166666666666667,0.0,0.3333333333333333,0.25,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5
10,0.08333333333333333,0.0,0.25,0.5,0.5,0.0,0.3333333333333333,0.25,0.4166666666666667,0.4166666666666667,0.5,0.5
11,0.08333333333333333,0.0,0.25,0.5,0.5,0.0,0.3333333333333333,0.25,0.4166666666666667,0.5,0.5,0.5
12,0.08333333333333333,0.0,0.25,0.5,0.5,0.0,0.3333333333333333,0.25,0.4166666666666667,0.5,0.5,0.5
13,0.08333333333333333,0.0,0.25,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.5,0.5
14,0.3333333333333333,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.4166666666666667,0.3333333333333333,0.5,0.5833333333333334,0.5,0.5
15,0.3333333333333333,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.4166666666666667,0.4166666666666667,0.5,0.5833333333333334,0.5,0.5
16,0.3333333333333333,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.4166666666666667,0.4166666666666667,0.5,0.5833333333333334,0.5833333333333334,0.5
17,0.3333333333333333,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.4166666666666667,0.5,0.5,0.6666666666666666,0.5833333333333334,0.5
18,0.3333333333333333,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.4166666666666667,0.5,0.5,0.6666666666666666,0.5833333333333334,0.5
19,0.3333333333333333,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.4166666666666667,0.5,0.5,0.75,0.6666666666666666,0.5833333333333334
20,0.3333333333333333,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.4166666666666667,0.5,0.5,0.75,0.6666666666666666,0.5833333333333334
21,0.3333333333333333,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.4166666666666667,0.5,0.5833333333333334,0.75,0.6666666666666666,0.5833333333333334
22,0.3333333333333333,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.5,0.5,0.6666666666666666,0.75,0.6666666666666666,0.5833333333333334
23,0.3333333333333333,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.5,0.5,0.6666666666666666,0.75,0.6666666666666666,0.5833333333333334
24,0.3333333333333333,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.5833333333333334,0.5,0.75,0.75,0.6666666666666666,0.5833333333333334
25,0.5,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.6666666666666666,0.5833333333333334,0.75,0.75,0.6666666666666666,0.6666666666666666
26,0.5,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.6666666666666666,0.5833333333333334,0.75,0.75,0.75,0.6666666666666666
27,0.5,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,0.6666666666666666
28,0.5,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,0.75
29,0.5,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,0.75
30,0.5,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.75,0.75,0.75,0.75,0.75,0.75
