gwtportlets(27),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.0,0.0,0.07064641519645475,0.0,0.0,0.0,0.0,0.07064641519645475,0.07064641519645475,0.07064641519645475,0.07064641519645475,0.07064641519645475
2%=0.02,0.0,0.06752194509058398,0.13504389018116797,0.13504389018116797,0.13504389018116797,0.13504389018116797,0.13504389018116797,0.20256583527175195,0.20256583527175195,0.20256583527175195,0.13504389018116797,0.20256583527175195
3%=0.03,0.06466214073740069,0.06466214073740069,0.12932428147480138,0.19398642221220205,0.19398642221220205,0.19398642221220205,0.19398642221220205,0.19398642221220205,0.19398642221220205,0.25864856294960276,0.19398642221220205,0.19398642221220205
4%=0.04,0.12406947968233625,0.06203473984116813,0.18610421952350437,0.2481389593646725,0.2481389593646725,0.18610421952350437,0.2481389593646725,0.18610421952350437,0.18610421952350437,0.2481389593646725,0.2481389593646725,0.2481389593646725
5%=0.05,0.23845007594539402,0.059612518986348506,0.23845007594539402,0.29806258528095864,0.29806258528095864,0.29806258528095864,0.3576751139180911,0.23845007594539402,0.23845007594539402,0.29806258528095864,0.29806258528095864,0.3576751139180911
6%=0.06,0.28686172536116944,0.05737234686005011,0.28686172536116944,0.3442340811603007,0.3442340811603007,0.28686172536116944,0.40160641908126965,0.28686172536116944,0.28686172536116944,0.3442340811603007,0.3442340811603007,0.3442340811603007
7%=0.07,0.33176665929610355,0.05529444321601726,0.33176665929610355,0.3870610942088228,0.3870610942088228,0.2764722077767882,0.44235554572813807,0.33176665929610355,0.33176665929610355,0.33176665929610355,0.3870610942088228,0.3870610942088228
8%=0.08,0.37353254496554894,0.05336179324265104,0.32017075945590623,0.42689434594120834,0.42689434594120834,0.32017075945590623,0.48025614691686763,0.37353254496554894,0.32017075945590623,0.37353254496554894,0.42689434594120834,0.42689434594120834
9%=0.09,0.46403713259585877,0.10311936119474287,0.360917756962084,0.46403713259585877,0.46403713259585877,0.360917756962084,0.5155967915346822,0.360917756962084,0.360917756962084,0.41247744477897147,0.41247744477897147,0.5155967915346822
10%=0.1,0.44887781449364655,0.09975062394180552,0.34912717704079754,0.49875310619798413,0.49875310619798413,0.34912717704079754,0.49875310619798413,0.3990024957672221,0.3990024957672221,0.44887781449364655,0.44887781449364655,0.5486284249244087
11%=0.11,0.4346776225493567,0.09659502582544321,0.3380825840541889,0.5312726357050753,0.5312726357050753,0.38638010330177286,0.48297511645749125,0.4346776225493567,0.4346776225493567,0.4346776225493567,0.48297511645749125,0.5312726357050753
12%=0.12,0.42134832254314775,0.09363295924240958,0.42134832254314775,0.5149812698809481,0.5149812698809481,0.46816478430743846,0.46816478430743846,0.46816478430743846,0.5149812698809481,0.5149812698809481,0.5149812698809481,0.5149812698809481
13%=0.13,0.40881218098923244,0.09084715008574445,0.4542357392219571,0.49965931986821194,0.49965931986821194,0.49965931986821194,0.49965931986821194,0.49965931986821194,0.5450829005144666,0.49965931986821194,0.49965931986821194,0.49965931986821194
14%=0.14,0.44111159262371713,0.08822232063844956,0.44111159262371713,0.5293339238306973,0.5293339238306973,0.5293339238306973,0.5293339238306973,0.4852227582272073,0.5293339238306973,0.4852227582272073,0.5293339238306973,0.4852227582272073
15%=0.15,0.4715969959701723,0.08574490926578633,0.4715969959701723,0.5573419152192636,0.5573419152192636,0.5144694555947179,0.5573419152192636,0.5144694555947179,0.5144694555947179,0.5144694555947179,0.5573419152192636,0.5144694555947179
