ant,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,PrideWithMotifCoreness
1%=0.01,0.1504856,0,0.119856129,0.13610478,0.13610478,0.146475533,0.153983967,0.126063778,0.124961485,0.141165188,0.150737731,0.161410631
2%=0.02,0.228530793,0.003559115,0.195341643,0.218622496,0.218622496,0.258833813,0.230522696,0.222857581,0.220670399,0.232050703,0.280289393,0.255517199
3%=0.03,0.284466198,0.006562117,0.259757352,0.293835605,0.293835605,0.330502177,0.301189801,0.314845309,0.283601259,0.308518225,0.333736402,0.346699363
4%=0.04,0.343389781,0.008619731,0.331840034,0.337922327,0.337922327,0.368653581,0.359070304,0.351971033,0.324923049,0.390044308,0.391697744,0.428435766
5%=0.05,0.398198218,0.013124235,0.371140603,0.380159584,0.380159584,0.399916988,0.394914157,0.387886518,0.346772853,0.413559886,0.430339141,0.472495802
6%=0.06,0.429142903,0.019686353,0.394190595,0.416022774,0.416022774,0.43200588,0.424426211,0.413844626,0.40006554,0.454129328,0.476159711,0.513226486
7%=0.07,0.45402498,0.024746969,0.419435033,0.45845606,0.45845606,0.457593424,0.478517112,0.442082659,0.420411153,0.481950852,0.526756881,0.526223138
8%=0.08,0.504267138,0.033623903,0.466732776,0.470992458,0.470992458,0.514013915,0.508709875,0.485904834,0.452372657,0.519687937,0.557368946,0.547558538
9%=0.09,0.533088071,0.039240629,0.49228357,0.516617421,0.516617421,0.542920671,0.533383828,0.515502364,0.46912751,0.543191182,0.57374403,0.563051787
10%=0.1,0.554107054,0.041298243,0.510179392,0.541725372,0.541725372,0.563011144,0.541724511,0.5301996,0.499717101,0.554287596,0.588549298,0.591961332
11%=0.11,0.57308776,0.047250624,0.546483501,0.571416151,0.571416151,0.57584086,0.551478567,0.544531337,0.509037512,0.58870547,0.605372295,0.620554459
12%=0.12,0.607180362,0.051755129,0.583762698,0.580804977,0.580804977,0.601168919,0.575628915,0.55764862,0.530703598,0.603367899,0.624351066,0.636728422
13%=0.13,0.629994794,0.064116013,0.61338691,0.605980997,0.605980997,0.627290231,0.594772066,0.570366797,0.536986668,0.609358956,0.651403265,0.656939056
14%=0.14,0.647743636,0.069103141,0.624705716,0.629211911,0.629211911,0.641910944,0.604031326,0.581657062,0.560117413,0.643738153,0.657982211,0.661920646
15%=0.15,0.662295834,0.0790774,0.632325911,0.647218059,0.647218059,0.662557533,0.607320798,0.585556898,0.579963748,0.661918717,0.670888322,0.680301577
