% k, BiMo
.01,84|92|22
.02,76|86|36
.03,98|76|24
.04,121|55|22
.05,127|50|21
.06,123|49|26
.07,124|47|27
.08,111|54|33
.09,104|64|30
.10,108|66|24
.11,118|58|22
.12,115|58|25
.13,112|52|34
.14,114|52|32
.15,118|47|33
