% k, BiMo,fgcs,,,kang,,,sora,,
TSPrideWithMotifCoreness-1(W/T/L): ,5|10|3,5,10,3,3,12,3,2,15,1
TSPrideWithMotifCoreness-2(W/T/L): ,6|9|3,6,9,3,6,8,4,5,9,4
TSPrideWithMotifCoreness-3(W/T/L): ,7|8|3,7,8,3,9,7,2,7,8,3
TSPrideWithMotifCoreness-4(W/T/L): ,10|7|1,10,7,1,8,9,1,8,7,3
TSPrideWithMotifCoreness-5(W/T/L): ,8|8|2,8,8,2,10,5,3,9,7,2
TSPrideWithMotifCoreness-6(W/T/L): ,8|10|0,8,10,0,11,6,1,9,7,2
TSPrideWithMotifCoreness-7(W/T/L): ,8|8|2,8,8,2,11,5,2,9,6,3
TSPrideWithMotifCoreness-8(W/T/L): ,9|8|1,9,8,1,10,8,0,9,9,0
TSPrideWithMotifCoreness-9(W/T/L): ,9|8|1,9,8,1,10,8,0,12,6,0
TSPrideWithMotifCoreness-10(W/T/L): ,9|8|1,9,8,1,10,6,2,13,4,1
TSPrideWithMotifCoreness-11(W/T/L): ,10|6|2,10,6,2,11,6,1,11,6,1
TSPrideWithMotifCoreness-12(W/T/L): ,9|8|1,9,8,1,13,3,2,10,6,2
TSPrideWithMotifCoreness-13(W/T/L): ,10|6|2,10,6,2,8,9,1,10,6,2
TSPrideWithMotifCoreness-14(W/T/L): ,8|7|3,8,7,3,10,7,1,9,4,5
TSPrideWithMotifCoreness-15(W/T/L): ,10|6|2,10,6,2,9,6,3,8,7,3
sum,,126,117,27,139,105,26,131,107,32
sum,,126|117|27,139|105|26,131|107|32,,,,,,
WTL%,,0.466666666666667|0.433333333333333|0.1,0.514814814814815|0.388888888888889|0.0962962962962963,0.485185185185185|0.396296296296296|0.118518518518519,,,,,,
no worse,,90.0%,90.4%,88.1%,,,,,,
,,46.7%,43.3%,10.0%,51.5%,38.9%,9.6%,48.5%,39.6%,11.9%
W-L,,36.7%,41.9%,36.7%,,,,,,
