ant,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,PrideWithMotifCoreness
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0.037637343,0,0,0.028995368,0.028995368,0.022488706,0.033624997,0.033766902,0.031452087,0.035682611,0.030111931,0.03377
3,0.058367449,0,0.00308642,0.068207596,0.068207596,0.033663674,0.054164386,0.059308419,0.050448266,0.065481258,0.065067028,0.05931
4,0.089452105,0.002057613,0.007054674,0.10062742,0.10062742,0.059129021,0.070779612,0.07036809,0.06573846,0.074226114,0.080241926,0.07654
5,0.101621417,0.003559115,0.036887357,0.124253228,0.124253228,0.08966253,0.084680918,0.091208772,0.101460094,0.109825183,0.103470909,0.10199
6,0.116103264,0.003559115,0.071866781,0.139746477,0.139746477,0.103903379,0.119481694,0.0955812,0.116634992,0.114969216,0.123814245,0.12787
7,0.142636844,0.011789567,0.088401173,0.157125959,0.157125959,0.129741122,0.148491333,0.120608314,0.127552758,0.127939527,0.138915656,0.13719
8,0.157339149,0.011789567,0.088401173,0.169018385,0.169018385,0.15356585,0.174958776,0.150102961,0.149221126,0.148836291,0.15559702,0.15585
9,0.17117389,0.013291069,0.113185355,0.181731495,0.181731495,0.159738689,0.188597812,0.161603549,0.16059408,0.167764051,0.167979442,0.16651
10,0.185062779,0.015348682,0.126994423,0.19362392,0.19362392,0.179653445,0.205984643,0.176893743,0.17356946,0.181395739,0.194182335,0.19786
11,0.2017074,0.018907797,0.129052036,0.207642376,0.207642376,0.18629898,0.223792706,0.195541829,0.197121782,0.205021547,0.206234069,0.21382
12,0.208673117,0.021222612,0.131109649,0.224475781,0.224475781,0.193500626,0.225850319,0.21031762,0.203336433,0.209252071,0.227980992,0.23731
13,0.225868884,0.021222612,0.155801007,0.23527825,0.23527825,0.194475285,0.238752213,0.230355022,0.207708861,0.237042265,0.259053311,0.25982
14,0.233016382,0.023280225,0.184066115,0.244997765,0.244997765,0.242302454,0.252310414,0.232412635,0.229413972,0.250546318,0.283188535,0.28077
15,0.239189222,0.026283228,0.211843892,0.25991546,0.25991546,0.242302454,0.26461935,0.248114353,0.236101215,0.26692875,0.302907239,0.30218
16,0.25345061,0.026283228,0.220074345,0.274227862,0.274227862,0.250501232,0.277337528,0.259688427,0.259506565,0.28847954,0.31211235,0.30847
17,0.296954431,0.026283228,0.262402387,0.286316339,0.286316339,0.261099549,0.286197681,0.285097242,0.274436677,0.296141442,0.336039452,0.32271
18,0.315351117,0.027784729,0.276291276,0.3032375,0.3032375,0.28178591,0.298489212,0.293327695,0.287296759,0.307519464,0.3559983,0.33229
19,0.330499407,0.029286231,0.286579342,0.311426244,0.311426244,0.304145049,0.311060418,0.305097901,0.295826225,0.334459499,0.367890725,0.34791
20,0.330499407,0.03391586,0.28946971,0.320428302,0.320428302,0.31469225,0.326732313,0.315331819,0.301430513,0.349487424,0.38415051,0.35691
21,0.343065545,0.038420365,0.291527323,0.327286923,0.327286923,0.316749864,0.350877593,0.328044929,0.308950511,0.354503823,0.391009132,0.37751
22,0.350066071,0.040477978,0.291527323,0.334213963,0.334213963,0.324838412,0.36085431,0.339802718,0.333502245,0.364223338,0.391983791,0.38749
23,0.361241039,0.044037093,0.322391521,0.356688399,0.356688399,0.32678773,0.375887302,0.348915005,0.333502245,0.371811753,0.397330878,0.39662
24,0.378370669,0.046094706,0.339366829,0.366922317,0.366922317,0.357485094,0.378919574,0.355602248,0.33581706,0.382472318,0.403376083,0.4205
25,0.384543508,0.046094706,0.343996459,0.367896976,0.367896976,0.360443879,0.386635624,0.37309196,0.341164147,0.400280381,0.42169855,0.42551
26,0.395345977,0.047596207,0.352741315,0.377800206,0.377800206,0.369648991,0.39787901,0.37772159,0.345463088,0.40434146,0.433585907,0.43317
27,0.397261686,0.051155322,0.384278491,0.393136449,0.393136449,0.389142168,0.39787901,0.385383491,0.356779961,0.411488958,0.44150501,0.43415
28,0.412206455,0.054158325,0.388094807,0.395451264,0.395451264,0.391618329,0.405337858,0.396210367,0.364721537,0.426352506,0.459313074,0.45134
29,0.428924562,0.058273551,0.388094807,0.398483536,0.398483536,0.392592988,0.409237694,0.398525182,0.373926648,0.439525871,0.461627888,0.45628
30,0.438183822,0.064299418,0.388094807,0.419262722,0.419262722,0.39562526,0.417725348,0.406755634,0.38285522,0.451014123,0.468775387,0.47151
