,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.032081787589450406,0.0,0.0,0.030724573780129327,0.030724573780129327,0.027211587397612796,0.02436573820673436,0.02450764256319811,0.03145208700764255,0.02913727219282773,0.030111931062223447,0.035667486617779
3,0.0599106589376805,0.0,0.0,0.06269613209268379,0.06269613209268379,0.06072128757397962,0.05046068235723407,0.049059376837154604,0.050448265726043474,0.05199147560258669,0.06506702846942812,0.05466366533617993
4,0.07402000638036126,0.002057613168724278,0.013227513227513222,0.07540924202801595,0.07540924202801595,0.08765397422888849,0.06945686107563502,0.062433862433862425,0.07484567901234565,0.06995385974514828,0.08068284269635345,0.08183614901451158
5,0.08850413336448826,0.003559114670225778,0.03169188403106531,0.10657473291572905,0.10657473291572905,0.09382681373506134,0.10269930360170326,0.07432628772868738,0.09954438565549675,0.08753639633353284,0.10620923583970568,0.10065368028415013
6,0.1107020291256024,0.003559114670225778,0.06348200748785543,0.12508091482431064,0.12508091482431064,0.10488648451695436,0.1156746831958568,0.10350765163227349,0.11564520870076422,0.11032446217715423,0.11726890662159868,0.11958372143641349
7,0.1356923999014138,0.011789567345122896,0.06348200748785543,0.15756687642904624,0.15756687642904624,0.11889767255516397,0.13652043316038073,0.13264492382510126,0.12656297512619352,0.13130476787968218,0.14699406829120476,0.14247973595120192
8,0.15612662723219287,0.011789567345122896,0.0758276865002011,0.16497157645070526,0.16497157645070526,0.13300701999784473,0.15107804632910496,0.14208789854585374,0.14922112646452232,0.15426920056633706,0.15295151725631662,0.16861142319400027
9,0.1673158657606127,0.011789567345122896,0.1432705993378508,0.17223437211590065,0.17223437211590065,0.15975599119126038,0.1740842901207894,0.15069085015646821,0.16125545611581102,0.17033099991357703,0.1726090716360932,0.1910247094961755
10,0.16929999274473967,0.011789567345122896,0.15682246538013833,0.18809505137897958,0.18809505137897958,0.1746930251341423,0.18114403185486064,0.15863242610570696,0.17739074164764826,0.1956888016123749,0.18922201736781286,0.21345041242954127
11,0.17547283225091248,0.013847180513847172,0.15682246538013833,0.19452509253124295,0.19452509253124295,0.1937259469448419,0.20316049276021042,0.17380732322504858,0.18566300542757488,0.20892138285261896,0.2021973969619664,0.2289436607696338
12,0.20316165306838826,0.018219608497386266,0.19746032546244285,0.21118905181216127,0.21118905181216127,0.21378767533990362,0.2100926005947179,0.18975889329539258,0.19620827291728682,0.21946665034233093,0.22602625924112107,0.24984042428335634
13,0.21242091232764754,0.019721109998887768,0.19746032546244285,0.22848271167488754,0.22848271167488754,0.22065136500254467,0.21810259471582316,0.20590844928412982,0.20719445751458251,0.22242543619585364,0.26496894908621066,0.27190561813217584
14,0.2566054477402531,0.023280224669113544,0.20720691415639994,0.24542127722456414,0.24542127722456414,0.22373778475563105,0.23019107208207826,0.20782415809639035,0.22638170031293642,0.2398734170462341,0.27547248549214676,0.28884925169458336
15,0.2750504800741743,0.023280224669113544,0.22305053555557686,0.2583915888059869,0.2583915888059869,0.2287193745325425,0.23820106620318354,0.2203241580963904,0.23898458097137265,0.26814127165508495,0.29817472854123384,0.3020226172071302
16,0.3044132788335248,0.023280224669113544,0.22305053555557686,0.27608435467126735,0.27608435467126735,0.23372150309788944,0.24560576622484265,0.2406555047687332,0.24501551612108174,0.28737724739690856,0.3137070005793538,0.3277304452062467
17,0.31110052163187873,0.026283227672116553,0.2567806942857356,0.295320330413091,0.295320330413091,0.23469616196728513,0.24997819420838172,0.26837913483154463,0.2544778293114651,0.3045629585884677,0.3167392726174738,0.3503692580749446
18,0.31990726070177566,0.026283227672116553,0.267068760129357,0.29821069809474726,0.29821069809474726,0.2518010383557872,0.26486421460206494,0.2846930678121442,0.27073761457709833,0.309652843795312,0.3322816006598019,0.3631964649810989
19,0.32579629149502104,0.027784729173618055,0.28684161179876033,0.31099729421467676,0.31099729421467676,0.25411585317060204,0.2947240120309287,0.30195226518830065,0.2859391987845305,0.32508494256074416,0.34749830888417294,0.37801127979591376
20,0.33439417509290464,0.030099543988432866,0.28781627066815607,0.3189163975285169,0.3189163975285169,0.2663145598137531,0.3124585890012387,0.30729935204123543,0.28799681195325477,0.32938388435968596,0.35773222701282786,0.38315531271772446
21,0.3503406771505178,0.03391586030474918,0.3299973406270038,0.32220587121272737,0.32220587121272737,0.28094217824254125,0.320657366596568,0.31141457837868397,0.2993136843812383,0.3402842461624474,0.37348267699901094,0.39518964236901316
22,0.3573412031568918,0.03597347347347346,0.3299973406270038,0.32781015971175276,0.32781015971175276,0.28807033814847893,0.3450915229751689,0.31777113334635004,0.3125311416045435,0.3583495109634452,0.38140178031285105,0.39518964236901316
23,0.36481246752470786,0.03803108664219775,0.3299973406270038,0.3406702420162795,0.3406702420162795,0.3014448237451867,0.3497211526047985,0.32946050471005095,0.32509727917068104,0.3660114126311948,0.3965298783356859,0.4018768851673671
24,0.3779297514753252,0.04253559114670225,0.3369417850714483,0.34463849598453344,0.34463849598453344,0.3082350272232305,0.3608961206763183,0.32946050471005095,0.3383298604109251,0.3849167005423306,0.40522058658779775,0.4203343341324789
25,0.39644826999384364,0.044593204315426536,0.3413142130549873,0.35230039765228305,0.35230039765228305,0.3191303210132611,0.37395925691196913,0.3443465251037342,0.3425603840380005,0.39257860221008023,0.4104257690842688,0.4389004652969162
26,0.4026211095000165,0.04609470581692803,0.3592448420967275,0.3619464263041597,0.3619464263041597,0.3232455473507097,0.38013209641814194,0.35193494058688657,0.34660212419085173,0.4006130028135473,0.4200717977361454,0.44558770809527004
27,0.40453681831227706,0.04609470581692803,0.3894592670479946,0.3689469523105336,0.3689469523105336,0.3242202062201054,0.3932493803687593,0.3647950228914133,0.3489169390056666,0.41640247649775775,0.42799090104998555,0.44558770809527004
28,0.4435850561909243,0.047596207318429534,0.3894592670479946,0.37859298096241023,0.37859298096241023,0.33651173751748464,0.4014798330436563,0.37868391178030214,0.35180730668732285,0.4342054716399342,0.4455417625588023,0.4525321525397145
29,0.44589987100573913,0.05321293515737959,0.39871852630725385,0.38379816345888135,0.38379816345888135,0.34583214635140425,0.40353744621238063,0.380998726595117,0.3607358781158942,0.44630636563738,0.4475993757275266,0.4556185722928009
30,0.44589987100573913,0.05527054832610387,0.42144096138601084,0.3917172667727214,0.3917172667727214,0.3581236776487835,0.4151115202864547,0.3876859693934709,0.36510830609943334,0.44933863767549986,0.4560328823335478,0.4628813679579962
average,0.25671304831896685,0.024391057724391048,0.21593111619334984,0.24311730751243085,0.24311730751243085,0.2155893707590958,0.2405566122806662,0.22650150146545592,0.2258655939017403,0.256814456586336,0.27200707530142226,0.2855231264979533
