software10,TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
ant_main(10)9%=0.10,0.8,0.8,0.9
argouml(12)9%=0.10,1.0,1.0,1.0
gwtportlets(27)9%=0.10,0.4074074074074074,0.2962962962962963,0.4074074074074074
javaclient(57)9%=0.10,0.2105263157894736,0.2105263157894736,0.2105263157894736
jedit(7)9%=0.10,1.0,1.0,1.0
jgap(18)9%=0.10,0.3333333333333333,0.3333333333333333,0.3888888888888889
jhotdraw(9)9%=0.10,1.0,1.0,1.0
jmeter_core(14)9%=0.10,0.3571428571428571,0.4285714285714285,0.4285714285714285
JPMC(24)9%=0.10,0.0833333333333333,0.0833333333333333,0.0833333333333333
log4j(9)9%=0.10,0.7777777777777778,0.7777777777777778,0.7777777777777778
Mars(29)9%=0.10,0.5862068965517241,0.5862068965517241,0.5862068965517241
Maze(27)9%=0.10,0.2222222222222222,0.2222222222222222,0.2222222222222222
neuroph(24)9%=0.10,0.4583333333333333,0.4583333333333333,0.5
PDFBox(12)9%=0.10,0.8333333333333334,0.8333333333333334,0.75
tomcat(28)9%=0.10,0.8928571428571429,0.8928571428571429,0.8571428571428571
wro4j(12)9%=0.10,1.0,1.0,1.0
Xerces(6)9%=0.10,0.8333333333333334,0.8333333333333334,0.8333333333333334
xuml(37)9%=0.10,0.0,0.0,0.0
