software11,TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
ant_main(10)10%=0.11,0.9,0.9,0.9
argouml(12)10%=0.11,1.0,1.0,1.0
gwtportlets(27)10%=0.11,0.4074074074074074,0.3333333333333333,0.4074074074074074
javaclient(57)10%=0.11,0.2105263157894736,0.2105263157894736,0.2105263157894736
jedit(7)10%=0.11,1.0,1.0,1.0
jgap(18)10%=0.11,0.3333333333333333,0.3888888888888889,0.3888888888888889
jhotdraw(9)10%=0.11,1.0,1.0,1.0
jmeter_core(14)10%=0.11,0.3571428571428571,0.4285714285714285,0.5
JPMC(24)10%=0.11,0.0833333333333333,0.0833333333333333,0.0833333333333333
log4j(9)10%=0.11,0.7777777777777778,0.7777777777777778,0.7777777777777778
Mars(29)10%=0.11,0.6206896551724138,0.6551724137931034,0.6206896551724138
Maze(27)10%=0.11,0.2222222222222222,0.2592592592592592,0.2222222222222222
neuroph(24)10%=0.11,0.4583333333333333,0.5,0.5
PDFBox(12)10%=0.11,0.8333333333333334,0.8333333333333334,0.8333333333333334
tomcat(28)10%=0.11,0.8928571428571429,0.8928571428571429,0.8928571428571429
wro4j(12)10%=0.11,1.0,1.0,1.0
Xerces(6)10%=0.11,0.8333333333333334,0.8333333333333334,0.8333333333333334
xuml(37)10%=0.11,0.0,0.0,0.0
