software02,TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
ant_main(10)1%=0.02,0.5,0.5,0.5
argouml(12)1%=0.02,0.5,0.5,0.5
gwtportlets(27)1%=0.02,0.074074074074074,0.074074074074074,0.074074074074074
javaclient(57)1%=0.02,0.0350877192982456,0.0350877192982456,0.0350877192982456
jedit(7)1%=0.02,0.8571428571428571,0.8571428571428571,0.8571428571428571
jgap(18)1%=0.02,0.1111111111111111,0.0555555555555555,0.0555555555555555
jhotdraw(9)1%=0.02,0.3333333333333333,0.2222222222222222,0.2222222222222222
jmeter_core(14)1%=0.02,0.0714285714285714,0.0714285714285714,0.0714285714285714
JPMC(24)1%=0.02,0.0,0.0,0.0
log4j(9)1%=0.02,0.3333333333333333,0.3333333333333333,0.3333333333333333
Mars(29)1%=0.02,0.2413793103448276,0.2758620689655172,0.2758620689655172
Maze(27)1%=0.02,0.037037037037037,0.037037037037037,0.037037037037037
neuroph(24)1%=0.02,0.125,0.125,0.125
PDFBox(12)1%=0.02,0.25,0.25,0.25
tomcat(28)1%=0.02,0.2857142857142857,0.3214285714285714,0.2857142857142857
wro4j(12)1%=0.02,0.25,0.3333333333333333,0.4166666666666667
Xerces(6)1%=0.02,0.1666666666666666,0.1666666666666666,0.1666666666666666
xuml(37)1%=0.02,0.0,0.0,0.0
