software05,TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
ant_main(10)5%=0.05,0.7,0.8,0.7
argouml(12)5%=0.05,0.9166666666666666,1.0,1.0
gwtportlets(27)5%=0.05,0.1851851851851851,0.1851851851851851,0.1851851851851851
javaclient(57)5%=0.05,0.0526315789473684,0.0526315789473684,0.0526315789473684
jedit(7)5%=0.05,1.0,1.0,1.0
jgap(18)5%=0.05,0.2222222222222222,0.1666666666666666,0.2222222222222222
jhotdraw(9)5%=0.05,0.7777777777777778,0.7777777777777778,0.7777777777777778
jmeter_core(14)5%=0.05,0.2142857142857142,0.2857142857142857,0.2857142857142857
JPMC(24)5%=0.05,0.0416666666666666,0.0416666666666666,0.0416666666666666
log4j(9)5%=0.05,0.5555555555555556,0.5555555555555556,0.5555555555555556
Mars(29)5%=0.05,0.4137931034482758,0.4482758620689655,0.4137931034482758
Maze(27)5%=0.05,0.1111111111111111,0.1111111111111111,0.1111111111111111
neuroph(24)5%=0.05,0.25,0.25,0.25
PDFBox(12)5%=0.05,0.5833333333333334,0.6666666666666666,0.6666666666666666
tomcat(28)5%=0.05,0.6785714285714286,0.6428571428571429,0.6428571428571429
wro4j(12)5%=0.05,1.0,1.0,1.0
Xerces(6)5%=0.05,0.5,0.6666666666666666,0.3333333333333333
xuml(37)5%=0.05,0.0,0.0,0.0
