software09,TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
ant_main(10)8%=0.09,0.8,0.8,0.9
argouml(12)8%=0.09,1.0,1.0,1.0
gwtportlets(27)8%=0.09,0.3333333333333333,0.2962962962962963,0.3333333333333333
javaclient(57)8%=0.09,0.1929824561403508,0.1403508771929824,0.1929824561403508
jedit(7)8%=0.09,1.0,1.0,1.0
jgap(18)8%=0.09,0.3333333333333333,0.3333333333333333,0.3333333333333333
jhotdraw(9)8%=0.09,1.0,1.0,1.0
jmeter_core(14)8%=0.09,0.3571428571428571,0.3571428571428571,0.3571428571428571
JPMC(24)8%=0.09,0.0833333333333333,0.0833333333333333,0.0833333333333333
log4j(9)8%=0.09,0.7777777777777778,0.7777777777777778,0.7777777777777778
Mars(29)8%=0.09,0.5517241379310345,0.5517241379310345,0.5517241379310345
Maze(27)8%=0.09,0.2222222222222222,0.2222222222222222,0.2222222222222222
neuroph(24)8%=0.09,0.4583333333333333,0.4166666666666667,0.4166666666666667
PDFBox(12)8%=0.09,0.6666666666666666,0.75,0.75
tomcat(28)8%=0.09,0.8928571428571429,0.8214285714285714,0.8214285714285714
wro4j(12)8%=0.09,1.0,1.0,1.0
Xerces(6)8%=0.09,0.8333333333333334,0.8333333333333334,0.8333333333333334
xuml(37)8%=0.09,0.0,0.0,0.0
