javaclient(57),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.033812341747413856,0.0,0.06762468349482771,0.0,0.0,0.033812341747413856,0.0,0.0,0.0,0.0,0.033812341747413856,0.033812341747413856
2%=0.02,0.06525285526446631,0.0,0.06525285526446631,0.0,0.0,0.09787928289669945,0.032626427632233154,0.032626427632233154,0.0,0.06525285526446631,0.06525285526446631,0.06525285526446631
3%=0.03,0.06304176559137543,0.0,0.06304176559137543,0.03152088279568772,0.03152088279568772,0.12608353118275087,0.03152088279568772,0.03152088279568772,0.0,0.06304176559137543,0.06304176559137543,0.06304176559137543
4%=0.04,0.09146341522626472,0.0,0.09146341522626472,0.1219512203016863,0.1219512203016863,0.15243902537710788,0.030487805075421575,0.030487805075421575,0.06097561015084315,0.06097561015084315,0.06097561015084315,0.06097561015084315
5%=0.05,0.14760147693998307,0.0,0.14760147693998307,0.14760147693998307,0.14760147693998307,0.14760147693998307,0.05904059077599322,0.02952029538799661,0.05904059077599322,0.05904059077599322,0.08856088616398983,0.11808118155198644
6%=0.06,0.20028612424975867,0.0,0.20028612424975867,0.17167382078550744,0.17167382078550744,0.20028612424975867,0.057224606928502474,0.057224606928502474,0.057224606928502474,0.11444921385700495,0.1430615173212562,0.1430615173212562
7%=0.07,0.24982650151490382,0.0,0.24982650151490382,0.19430950843192177,0.19430950843192177,0.24982650151490382,0.08327550361368076,0.055517002409120504,0.055517002409120504,0.13879250602280127,0.19430950843192177,0.19430950843192177
8%=0.08,0.29649594977680255,0.0,0.29649594977680255,0.24258759367311025,0.24258759367311025,0.29649594977680255,0.08086253415553842,0.08086253415553842,0.10781671220738456,0.18867924636292296,0.21563342441476913,0.24258759367311025
9%=0.09,0.34053699424382294,0.0,0.34053699424382294,0.2619515404223496,0.2619515404223496,0.31434184850681945,0.1309757702111748,0.1309757702111748,0.1309757702111748,0.1833660782956447,0.2357563780748831,0.288146686159353
10%=0.1,0.3821656150195732,0.0,0.3821656150195732,0.30573248573043843,0.30573248573043843,0.3566879000188448,0.12738853572101602,0.12738853572101602,0.15286624286521922,0.2292993564413035,0.28025477072970995,0.30573248573043843
11%=0.11,0.44637320507098743,0.0,0.4215747002943539,0.32238065141492384,0.32238065141492384,0.39677619551772025,0.14879107331914512,0.1239925610992876,0.14879107331914512,0.29758214663829025,0.3471791710780052,0.3471791710780052
12%=0.12,0.4589372074832303,0.0,0.4589372074832303,0.36231884949974985,0.36231884949974985,0.43478259680226566,0.14492753697522073,0.14492753697522073,0.14492753697522073,0.33816425294218166,0.38647343193392186,0.38647343193392186
13%=0.13,0.49440847133674753,0.0,0.49440847133674753,0.40023542789950567,0.40023542789950567,0.47086521718620944,0.14125956515586285,0.14125956515586285,0.16480282601517332,0.3531489195984294,0.40023542789950567,0.42377868205004365
14%=0.14,0.528128596786793,0.0,0.528128596786793,0.43628014628155204,0.43628014628155204,0.5051664650155093,0.1377726757578614,0.1377726757578614,0.1607347883841716,0.390355908265616,0.43628014628155204,0.45924225252620465
15%=0.15,0.5602240862237013,0.0,0.537815128609535,0.4705882314554455,0.4705882314554455,0.537815128609535,0.13445378215238374,0.15686274584444768,0.15686274584444768,0.42577031622711264,0.4705882314554455,0.4929971890696118
