Mars(29),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.2489419997284407,0.0,0.19915359667624485,0.2489419997284407,0.2489419997284407,0.14936520139031825,0.2987304027806365,0.19915359667624485,0.19915359667624485,0.19915359667624485,0.19915359667624485,0.19915359667624485
2%=0.02,0.350603809816506,0.0,0.27269185524916795,0.27269185524916795,0.27269185524916795,0.23373588271999368,0.38955980136365964,0.27269185524916795,0.19477990068182982,0.31164783728733186,0.350603809816506,0.27269185524916795
3%=0.03,0.3199488108448693,0.0,0.25595904611018827,0.25595904611018827,0.25595904611018827,0.28795392206326065,0.38393857557955036,0.3199488108448693,0.25595904611018827,0.3199488108448693,0.35194368679794186,0.3199488108448693
4%=0.04,0.2985884891788799,0.0,0.2714440844294266,0.2442996704462498,0.2442996704462498,0.2714440844294266,0.35287730791150995,0.2714440844294266,0.2442996704462498,0.35287730791150995,0.3257329031620566,0.3257329031620566
5%=0.05,0.32999410508727317,0.0,0.32999410508727317,0.235710078046316,0.235710078046316,0.2828520950481022,0.30642310006768775,0.30642310006768775,0.2592810830659014,0.30642310006768775,0.30642310006768775,0.2828520950481022
6%=0.06,0.31243490564427834,0.0,0.31243490564427834,0.22911893261810978,0.22911893261810978,0.24994792995233958,0.29160591374696543,0.2707769218496526,0.29160591374696543,0.29160591374696543,0.29160591374696543,0.24994792995233958
7%=0.07,0.29853531082888524,0.0,0.29853531082888524,0.22390148530307522,0.22390148530307522,0.2425599405938221,0.2798768511753157,0.2612183958845689,0.2612183958845689,0.2612183958845689,0.2612183958845689,0.2425599405938221
8%=0.08,0.2872592111664811,0.0,0.2872592111664811,0.2027712080927051,0.2027712080927051,0.2534640056431151,0.2534640056431151,0.2534640056431151,0.2534640056431151,0.23656640645964513,0.2534640056431151,0.2534640056431151
9%=0.09,0.27792789067959534,0.0,0.27792789067959534,0.20072570081594482,0.20072570081594482,0.2624874562920919,0.24704701592921072,0.23160657556632944,0.23160657556632944,0.23160657556632944,0.24704701592921072,0.24704701592921072
10%=0.1,0.2558635373500639,0.0,0.2558635373500639,0.1847903342186958,0.1847903342186958,0.24164889976235962,0.2274342571103731,0.21321961445838655,0.21321961445838655,0.21321961445838655,0.24164889976235962,0.24164889976235962
11%=0.11,0.23704483918377453,0.0,0.2502139983651146,0.18436820897850095,0.18436820897850095,0.2238756843491589,0.2107065251678189,0.2107065251678189,0.2107065251678189,0.2238756843491589,0.23704483918377453,0.23704483918377453
12%=0.12,0.2330716384714706,0.0,0.2330716384714706,0.18400392411654737,0.18400392411654737,0.22080470893985682,0.1962708536481611,0.2085377831797748,0.1962708536481611,0.2085377831797748,0.2330716384714706,0.22080470893985682
13%=0.13,0.21812754687140354,0.0344411918503354,0.21812754687140354,0.18368635543399192,0.18368635543399192,0.2066471486244694,0.18368635543399192,0.19516675368092598,0.18368635543399192,0.19516675368092598,0.24108834006188093,0.21812754687140354
14%=0.14,0.20498435615521812,0.032365951182996566,0.20498435615521812,0.1726184053368834,0.1726184053368834,0.20498435615521812,0.19419570491000815,0.18340705658209328,0.18340705658209328,0.18340705658209328,0.2265616557283429,0.21577300740042799
15%=0.15,0.1933350289861803,0.03052658371193957,0.1933350289861803,0.16280844559863264,0.16280844559863264,0.1933350289861803,0.20351055764707462,0.1933350289861803,0.17298397425952694,0.18315950032528597,0.2136860837128336,0.2136860837128336
