argouml(12),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.09775171236357455,0.0,0.29325513196480935,0.4887585464401297,0.4887585464401297,0.0,0.3910068494542982,0.29325513196480935,0.4887585464401297,0.3910068494542982,0.4887585464401297,0.5865102639296187
2%=0.02,0.27662517631150996,0.0,0.20746887966804978,0.48409404571722864,0.48409404571722864,0.0,0.34578146269263926,0.41493775933609955,0.41493775933609955,0.5532503526230199,0.48409404571722864,0.41493775933609955
3%=0.03,0.32102728731942215,0.0,0.32102728731942215,0.3745318311108148,0.3745318311108148,0.0,0.4280363871877404,0.3745318311108148,0.4815409309791332,0.4815409309791332,0.4815409309791332,0.4280363871877404
4%=0.04,0.2617801047120419,0.0,0.305410119440958,0.305410119440958,0.305410119440958,0.0,0.3926701570680628,0.3926701570680628,0.3926701570680628,0.3926701570680628,0.3926701570680628,0.4363001717969789
5%=0.05,0.22099447513812154,0.0,0.2578268857204718,0.3314917127071823,0.3314917127071823,0.11049723756906077,0.3314917127071823,0.3314917127071823,0.3314917127071823,0.3314917127071823,0.3314917127071823,0.40515653969389276
6%=0.06,0.19120458891013387,0.0,0.22307201894242423,0.31867431339749114,0.31867431339749114,0.09560229445506693,0.28680688336520077,0.28680688336520077,0.31867431339749114,0.31867431339749114,0.35054174778797725,0.35054174778797725
7%=0.07,0.19657399494042058,0.0,0.19657399494042058,0.3089019949500596,0.3089019949500596,0.11232799831748978,0.25273799494524013,0.25273799494524013,0.2808199932555006,0.2808199932555006,0.3089019949500596,0.3089019949500596
8%=0.08,0.1757028103437145,0.0,0.1757028103437145,0.27610441857194806,0.27610441857194806,0.1255020075814958,0.22590361445783133,0.22590361445783133,0.27610441857194806,0.27610441857194806,0.27610441857194806,0.27610441857194806
9%=0.09,0.18152938580576317,0.0,0.15883821119900193,0.24960290520671619,0.24960290520671619,0.13614703880190607,0.22691173059995498,0.22691173059995498,0.24960290520671619,0.24960290520671619,0.24960290520671619,0.27229407760381213
10%=0.1,0.1656314705924889,0.0,0.14492753561869118,0.2277432718347249,0.2277432718347249,0.14492753561869118,0.2070393368609272,0.2070393368609272,0.2277432718347249,0.2277432718347249,0.24844720496894407,0.24844720496894407
11%=0.11,0.1522939277980635,0.0,0.1522939277980635,0.20940415052793215,0.20940415052793215,0.1522939277980635,0.19036740858114834,0.19036740858114834,0.20940415052793215,0.20940415052793215,0.2284408909194746,0.2284408909194746
12%=0.12,0.14094432743486274,0.0,0.14094432743486274,0.19379845005642723,0.19379845005642723,0.14094432743486274,0.1761804082945241,0.19379845005642723,0.19379845005642723,0.19379845005642723,0.21141649048625794,0.21141649048625794
13%=0.13,0.1311690444901599,0.0,0.1311690444901599,0.18035743602975657,0.18035743602975657,0.1311690444901599,0.18035743602975657,0.18035743602975657,0.19675356615838663,0.18035743602975657,0.19675356615838663,0.19675356615838663
14%=0.14,0.12266176053256106,0.0,0.12266176053256106,0.16865992060615811,0.16865992060615811,0.12266176053256106,0.16865992060615811,0.18399264029438822,0.18399264029438822,0.16865992060615811,0.18399264029438822,0.18399264029438822
15%=0.15,0.11519078503380441,0.028797696258451102,0.11519078503380441,0.1583873293102623,0.1583873293102623,0.11519078503380441,0.1583873293102623,0.17278617710583155,0.17278617710583155,0.17278617710583155,0.17278617710583155,0.17278617710583155
