log4j(9),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.28076743450199776,0.0,0.18717828790600294,0.18717828790600294,0.18717828790600294,0.18717828790600294,0.18717828790600294,0.18717828790600294,0.09358914395300147,0.18717828790600294,0.18717828790600294,0.18717828790600294
2%=0.02,0.17783046970058825,0.0,0.11855364576021464,0.17783046970058825,0.17783046970058825,0.17783046970058825,0.17783046970058825,0.11855364576021464,0.11855364576021464,0.17783046970058825,0.17783046970058825,0.17783046970058825
3%=0.03,0.13012361819349108,0.0,0.2168726977460781,0.2168726977460781,0.2168726977460781,0.13012361819349108,0.17349815683439507,0.17349815683439507,0.13012361819349108,0.17349815683439507,0.17349815683439507,0.17349815683439507
4%=0.04,0.17099863326581136,0.0,0.17099863326581136,0.17099863326581136,0.17099863326581136,0.10259917967714165,0.13679890576561357,0.13679890576561357,0.17099863326581136,0.13679890576561357,0.13679890576561357,0.17099863326581136
5%=0.05,0.14114326126425,0.0,0.14114326126425,0.14114326126425,0.14114326126425,0.11291460843431919,0.11291460843431919,0.11291460843431919,0.14114326126425,0.11291460843431919,0.16937191313237948,0.14114326126425
6%=0.06,0.14419610716986792,0.0,0.12016342287393109,0.12016342287393109,0.12016342287393109,0.12016342287393109,0.09613073788087079,0.09613073788087079,0.12016342287393109,0.12016342287393109,0.14419610716986792,0.14419610716986792
7%=0.07,0.12553614430036006,0.0,0.10461345375975752,0.12553614430036006,0.12553614430036006,0.10461345375975752,0.10461345375975752,0.10461345375975752,0.10461345375975752,0.10461345375975752,0.12553614430036006,0.14645883484096256
8%=0.08,0.11115227889786368,0.0,0.09262689921962904,0.11115227889786368,0.11115227889786368,0.09262689921962904,0.1296776585760983,0.09262689921962904,0.09262689921962904,0.1296776585760983,0.11115227889786368,0.1296776585760983
9%=0.09,0.09972575439830907,0.0,0.09972575439830907,0.09972575439830907,0.09972575439830907,0.08310479544307078,0.11634671335354738,0.09972575439830907,0.08310479544307078,0.11634671335354738,0.09972575439830907,0.11634671335354738
10%=0.1,0.0904295404992848,0.0,0.0904295404992848,0.0904295404992848,0.0904295404992848,0.07535795050746136,0.10550113049110822,0.10550113049110822,0.0904295404992848,0.10550113049110822,0.10550113049110822,0.10550113049110822
11%=0.11,0.082718687683097,0.0,0.082718687683097,0.082718687683097,0.082718687683097,0.06893223981238372,0.11029158342452353,0.09650513555381027,0.082718687683097,0.09650513555381027,0.09650513555381027,0.09650513555381027
12%=0.12,0.07621951232497247,0.0,0.07621951232497247,0.07621951232497247,0.07621951232497247,0.07621951232497247,0.1016260163034461,0.0889227643142093,0.07621951232497247,0.0889227643142093,0.0889227643142093,0.0889227643142093
13%=0.13,0.07066721641219259,0.0,0.07066721641219259,0.07066721641219259,0.07066721641219259,0.07066721641219259,0.09422295510463542,0.08244508575841401,0.07066721641219259,0.09422295510463542,0.08244508575841401,0.08244508575841401
14%=0.14,0.06586892094449127,0.0,0.06586892094449127,0.06586892094449127,0.06586892094449127,0.06586892094449127,0.08782522782901055,0.0768470743867509,0.06586892094449127,0.08782522782901055,0.0768470743867509,0.0768470743867509
15%=0.15,0.06168080193546172,0.0,0.06168080193546172,0.06168080193546172,0.06168080193546172,0.06168080193546172,0.08224106916224462,0.07196093554885317,0.06168080193546172,0.08224106916224462,0.07196093554885317,0.07196093554885317
