Threshold,BiMo-0.05,BiMo-0.1,BiMo-0.15,BiMo-0.2,BiMo-0.25,BiMo-0.3,BiMo-0.35,BiMo-0.4,BiMo-0.45,BiMo-0.5,BiMo-0.55,BiMo-0.6,BiMo-0.65,BiMo-0.7,BiMo-0.75,BiMo-0.8,BiMo-0.9,BiMo-0.95,BiMo-1.0,BiMo-0.85
top-30,0.344827592,0.344827592,0.344827592,0.37931034,0.37931034,0.37931034,0.37931034,0.37931034,0.37931034,0.37931034,0.37931034,0.37931034,0.37931034,0.37931034,0.344827592,0.344827592,0.344827592,0.310344815,0.310344815,0.344827592
top-1,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037
top-2,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075
top-3,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.074074075,0.111111112,0.111111112,0.111111112,0.111111112
top-4,0.111111112,0.111111112,0.111111112,0.111111112,0.111111112,0.111111112,0.111111112,0.111111112,0.111111112,0.111111112,0.111111112,0.111111112,0.111111112,0.111111112,0.111111112,0.111111112,0.148148149,0.148148149,0.148148149,0.148148149
top-5,0.148148149,0.148148149,0.148148149,0.148148149,0.148148149,0.148148149,0.148148149,0.148148149,0.148148149,0.148148149,0.148148149,0.148148149,0.148148149,0.148148149,0.148148149,0.148148149,0.148148149,0.185185179,0.185185179,0.185185179
top-6,0.185185179,0.185185179,0.185185179,0.185185179,0.185185179,0.185185179,0.185185179,0.185185179,0.185185179,0.185185179,0.185185179,0.185185179,0.185185179,0.185185179,0.185185179,0.185185179,0.185185179,0.222222224,0.222222224,0.222222224
top-7,0.222222224,0.222222224,0.222222224,0.222222224,0.222222224,0.222222224,0.222222224,0.222222224,0.222222224,0.222222224,0.222222224,0.222222224,0.222222224,0.222222224,0.222222224,0.222222224,0.222222224,0.222222224,0.222222224,0.222222224
top-8,0.259259254,0.259259254,0.259259254,0.259259254,0.259259254,0.259259254,0.259259254,0.259259254,0.259259254,0.259259254,0.259259254,0.259259254,0.259259254,0.259259254,0.259259254,0.259259254,0.259259254,0.259259254,0.259259254,0.259259254
top-9,0.259259254,0.259259254,0.259259254,0.259259254,0.296296299,0.296296299,0.296296299,0.296296299,0.296296299,0.296296299,0.296296299,0.296296299,0.296296299,0.296296299,0.296296299,0.296296299,0.296296299,0.296296299,0.296296299,0.296296299
top-10,0.259259254,0.259259254,0.259259254,0.296296299,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343
top-11,0.259259254,0.296296299,0.296296299,0.296296299,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.370370358,0.370370358,0.370370358,0.370370358,0.370370358,0.370370358,0.370370358,0.370370358
top-12,0.296296299,0.296296299,0.296296299,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.370370358,0.370370358,0.407407403,0.407407403,0.407407403,0.407407403,0.407407403,0.407407403
top-13,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.370370358,0.370370358,0.407407403,0.407407403,0.407407403,0.444444448,0.407407403,0.407407403,0.444444448
top-14,0.333333343,0.333333343,0.370370358,0.370370358,0.370370358,0.370370358,0.370370358,0.333333343,0.370370358,0.370370358,0.370370358,0.370370358,0.407407403,0.407407403,0.444444448,0.444444448,0.444444448,0.444444448,0.444444448,0.481481493
top-15,0.333333343,0.333333343,0.370370358,0.370370358,0.370370358,0.370370358,0.370370358,0.370370358,0.370370358,0.370370358,0.407407403,0.407407403,0.444444448,0.444444448,0.444444448,0.481481493,0.481481493,0.481481493,0.481481493,0.481481493
