k,BiMo-0.05,BiMo-0.1,BiMo-0.15,BiMo-0.2,BiMo-0.25,BiMo-0.3,BiMo-0.35,BiMo-0.4,BiMo-0.45,BiMo-0.5,BiMo-0.55,BiMo-0.6,BiMo-0.65,BiMo-0.7,BiMo-0.75,BiMo-0.8,BiMo-0.9,BiMo-0.95,BiMo-0.85
top-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
top-2,0.045960621,0.049928876,0.049928876,0.046842456,0.046842456,0.046842456,0.046842456,0.046842456,0.046842456,0.046842456,0.044784843,0.044784843,0.044784843,0.040155213,0.039898011,0.042212826,0.038972085,0.037056377,0.034692829
top-3,0.088668512,0.088668512,0.086610899,0.086610899,0.08043806,0.07735164,0.07735164,0.079409253,0.079409253,0.079409253,0.084038883,0.084038883,0.084038883,0.082123174,0.078625232,0.073995602,0.068770734,0.060682186,0.056579376
top-4,0.106802196,0.114738703,0.114738703,0.112754576,0.112754576,0.111779917,0.111779917,0.109722304,0.116409547,0.116409547,0.116409547,0.116409547,0.113323127,0.111779917,0.104242515,0.093800128,0.090302186,0.084129346,0.078441515
top-5,0.135118783,0.136458939,0.136458939,0.136458939,0.13454323,0.13454323,0.13454323,0.13454323,0.142479739,0.144537352,0.137389854,0.129453345,0.13176816,0.134413662,0.134413662,0.118055637,0.111253096,0.105080257,0.104511706
top-6,0.14913724,0.155261348,0.159890977,0.155675577,0.149502736,0.149502736,0.154132365,0.160084748,0.160084748,0.15082549,0.15082549,0.15082549,0.157769934,0.157911838,0.151738999,0.151738999,0.129710546,0.131768159,0.130758691
top-7,0.183922894,0.182948235,0.182948235,0.181973576,0.186603206,0.18104765,0.182387805,0.177758175,0.177758175,0.183313731,0.176369286,0.176369286,0.171739657,0.171739657,0.171739657,0.167624431,0.153980326,0.158352754,0.142744288
top-8,0.203997038,0.198441482,0.208626667,0.201479169,0.195923614,0.194948955,0.18841874,0.186103925,0.193974296,0.193974296,0.198603926,0.198603926,0.198603926,0.191328793,0.189013978,0.187098269,0.173454165,0.169265452,0.163981796
top-9,0.220213158,0.218625857,0.228811041,0.228811041,0.219966013,0.213435799,0.206288301,0.217862376,0.217862376,0.221502222,0.221502222,0.221502222,0.217533968,0.219518095,0.219518095,0.211429546,0.193155812,0.186644935,0.188016847
top-10,0.234175532,0.248064421,0.248064421,0.255008866,0.244253197,0.235934988,0.235934988,0.241904774,0.239589959,0.233705997,0.227533158,0.239261552,0.229120459,0.22991639,0.23608923,0.23608923,0.211642656,0.215316964,0.2080469
top-11,0.252547079,0.261806338,0.261806338,0.266178767,0.272466905,0.271492246,0.268202772,0.272611943,0.272611943,0.266439104,0.26247085,0.259452848,0.254823219,0.24865038,0.243094825,0.253235918,0.241906629,0.233382231,0.226959538
top-12,0.266381821,0.272094405,0.27440922,0.27440922,0.287641802,0.286667143,0.283580723,0.296808237,0.292839982,0.281376138,0.286667143,0.288651271,0.287249964,0.274132681,0.274794056,0.273206755,0.260488576,0.25125871,0.25508734
top-13,0.283981762,0.287048843,0.285064717,0.297525694,0.299840508,0.293667669,0.295210877,0.299840508,0.301756216,0.295583377,0.303740344,0.30605516,0.29722668,0.286424212,0.293111454,0.287820449,0.274176344,0.270788631,0.270318318
top-14,0.299712874,0.308200527,0.308200527,0.305885714,0.306767548,0.31345479,0.309486536,0.317575084,0.317575084,0.3198899,0.3198899,0.315774673,0.30680429,0.30628482,0.299137322,0.293846316,0.302583823,0.284903048,0.286490349
top-15,0.320932975,0.322848684,0.320161368,0.322218982,0.329273656,0.324644027,0.326701641,0.32457561,0.329609414,0.331924229,0.329866616,0.32766203,0.324776731,0.326829277,0.317312816,0.312683187,0.314360951,0.318917093,0.30548154
top-16,0.345555915,0.332421226,0.337822459,0.339880073,0.336536451,0.336536453,0.336536453,0.336536453,0.341496771,0.341496771,0.348184013,0.346126399,0.341036515,0.336406886,0.334092072,0.329205241,0.332580537,0.331877349,0.324974718
top-17,0.350903001,0.344712756,0.34857078,0.353425936,0.349200482,0.344198354,0.344198354,0.34651317,0.351142801,0.35577243,0.351142798,0.353200412,0.352152266,0.350498827,0.352556441,0.352556441,0.353800637,0.354456947,0.335980241
top-18,0.356507289,0.352374658,0.360200937,0.361859444,0.357119586,0.35480477,0.358662798,0.358804703,0.358804703,0.358804703,0.360720412,0.360720412,0.359084374,0.36198708,0.36007644,0.362275956,0.371750608,0.365205269,0.347872666
top-19,0.382026335,0.36349041,0.365406119,0.374408178,0.370665452,0.368607838,0.375956458,0.373011944,0.373011944,0.373011944,0.368382312,0.370807357,0.376005538,0.376777145,0.381406773,0.383537872,0.384042138,0.377097696,0.37651487
top-20,0.383000993,0.38834808,0.390557735,0.388358217,0.381413775,0.385529002,0.385529,0.38361836,0.38361836,0.382956985,0.383356091,0.384439045,0.392669496,0.386496657,0.391126286,0.399062793,0.389247319,0.387331612,0.386234389
top-21,0.394631148,0.405176415,0.397244977,0.401218302,0.399675094,0.40060102,0.396588672,0.395706838,0.400336467,0.395045462,0.391959041,0.402504307,0.403587259,0.409142816,0.403111884,0.415604532,0.400306992,0.400706098,0.40378525
top-22,0.402971831,0.409149738,0.411452221,0.416081849,0.421637406,0.42586793,0.413110726,0.412640417,0.409181496,0.415207362,0.410577732,0.423437811,0.424520768,0.423418475,0.421618067,0.429554574,0.407307517,0.414320382,0.415028637
top-23,0.42952475,0.431626457,0.434257343,0.434296367,0.434301435,0.438673861,0.44058957,0.429414602,0.429813708,0.426212889,0.437941281,0.438044164,0.432439874,0.436481617,0.424576852,0.430529233,0.43085485,0.41529504,0.423616466
top-24,0.435129039,0.445172324,0.452280796,0.454529474,0.454419242,0.45177881,0.450235603,0.452288148,0.456190264,0.453103844,0.447660796,0.449644923,0.445583844,0.444143518,0.438668797,0.440432465,0.438773957,0.436858248,0.434737285
top-25,0.448603701,0.464009196,0.458811012,0.468364216,0.459435643,0.452753469,0.463408966,0.463408966,0.471279336,0.465395374,0.460907648,0.452677194,0.450600242,0.4596023,0.454267204,0.455964734,0.448351569,0.444520151,0.448351569
top-26,0.455751201,0.464983854,0.472645753,0.479590196,0.462326009,0.474892149,0.464383624,0.472253994,0.472253994,0.476883623,0.475041403,0.475041403,0.463264274,0.472413304,0.470828282,0.456939393,0.456939393,0.452966072,0.451641042
top-27,0.479070725,0.483558449,0.492763559,0.482548981,0.489608721,0.481892674,0.477924419,0.483222775,0.49292295,0.49292295,0.483070734,0.484613943,0.481508185,0.486615476,0.475771195,0.465630102,0.460228864,0.464527811,0.460228866
top-28,0.486590722,0.498715941,0.502005417,0.494551633,0.497270625,0.486982562,0.497167744,0.49389761,0.49389761,0.49389761,0.498527239,0.497552579,0.500822713,0.490676554,0.48990495,0.481044793,0.469360489,0.467817282,0.467486593
top-29,0.495575379,0.502005417,0.504063029,0.505868507,0.503296492,0.513481674,0.511497549,0.499923478,0.495955222,0.500584851,0.502568978,0.501594318,0.502880325,0.492734166,0.48990495,0.481044793,0.481044793,0.474871956,0.474634092
top-30,0.508104773,0.51222,0.511651443,0.508827292,0.506255277,0.514456333,0.514787023,0.514787023,0.506189139,0.501559509,0.508173269,0.50719861,0.519507544,0.504883793,0.49396603,0.494365133,0.489735505,0.475846616,0.478607414
,0.304849976,0.308103336,0.310181817,0.311188071,0.309665973,0.308879005,0.308381298,0.309389037,0.310829932,0.30995298,0.309610194,0.310214932,0.308840902,0.307116224,0.304486869,0.302686178,0.295969437,0.292374822,0.289393504
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,0.305 ,,,,,,,,,,,,,,,,,,
,0.308 ,,,,,,,,,,,,,,,,,,
,0.310 ,,,,,,,,,,,,,,,,,,
,0.311 ,,,,,,,,,,,,,,,,,,
,0.310 ,,,,,,,,,,,,,,,,,,
,0.309 ,,,,,,,,,,,,,,,,,,
,0.308 ,,,,,,,,,,,,,,,,,,
,0.309 ,,,,,,,,,,,,,,,,,,
,0.311 ,,,,,,,,,,,,,,,,,,
,0.310 ,,,,,,,,,,,,,,,,,,
,0.310 ,,,,,,,,,,,,,,,,,,
,0.310 ,,,,,,,,,,,,,,,,,,
,0.309 ,,,,,,,,,,,,,,,,,,
,0.307 ,,,,,,,,,,,,,,,,,,
,0.304 ,,,,,,,,,,,,,,,,,,
,0.303 ,,,,,,,,,,,,,,,,,,
,0.296 ,,,,,,,,,,,,,,,,,,
,0.292 ,,,,,,,,,,,,,,,,,,
,0.289 ,,,,,,,,,,,,,,,,,,
