software,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
software01,5.416666667,10.52777778,6.333333333,6.583333333,6.583333333,5.944444444,6.083333333,6.944444444,6.638888889,6.416666667,5.75,4.777777778
software02,5.888888889,10.88888889,7.416666667,6.638888889,6.638888889,4.972222222,6.166666667,6.5,6.25,6.666666667,4.583333333,5.388888889
software03,6.555555556,11.08333333,7.416666667,6.5,6.5,5.083333333,6.25,5.972222222,7,6.027777778,5.166666667,4.444444444
software04,6.694444444,11.13888889,7.222222222,6.083333333,6.083333333,5.833333333,6.361111111,6.666666667,7.277777778,5.583333333,5.305555556,3.75
software05,6.527777778,11.13888889,7.138888889,5.777777778,5.777777778,5.944444444,6.305555556,6.833333333,7.75,6.027777778,5.222222222,3.555555556
software06,6.333333333,11.25,7.638888889,5.638888889,5.638888889,6.333333333,6.25,6.972222222,7.111111111,5.805555556,5.222222222,3.805555556
software07,6.5,11.25,7.638888889,5.611111111,5.611111111,6.472222222,5.833333333,7.166666667,7.5,5.805555556,4.805555556,3.805555556
software08,6.361111111,11.08333333,7.388888889,6.194444444,6.194444444,5.694444444,6.027777778,6.777777778,7.333333333,5.722222222,4.888888889,4.333333333
software09,6.222222222,11.08333333,7.583333333,6.055555556,6.055555556,5.694444444,6.111111111,6.777777778,7.305555556,5.638888889,5.027777778,4.444444444
software10,6.138888889,11.08333333,7.722222222,6.138888889,6.138888889,5.75,6.083333333,6.638888889,7.444444444,5.861111111,4.833333333,4.166666667
software11,6.361111111,11.13888889,7.111111111,6.055555556,6.055555556,6.555555556,6.25,6.75,7.583333333,5.388888889,4.916666667,3.833333333
software12,6.444444444,11.13888889,6.861111111,6.416666667,6.416666667,6.361111111,6.055555556,6.722222222,7.333333333,5.388888889,4.861111111,4
software13,6.111111111,11.02777778,6.75,6.222222222,6.222222222,6.138888889,5.833333333,6.944444444,7.777777778,5.944444444,4.694444444,4.333333333
software14,6.055555556,11.02777778,6.833333333,6.138888889,6.138888889,6.138888889,6.083333333,6.777777778,7.833333333,5.722222222,5.027777778,4.222222222
software15,5.888888889,11.05555556,7,6,6,6.166666667,6.555555556,7.111111111,7.722222222,5.277777778,5.083333333,4.138888889
