k,BiMo-0.05,BiMo-0.1,BiMo-0.15,BiMo-0.2,BiMo-0.25,BiMo-0.3,BiMo-0.35,BiMo-0.4,BiMo-0.45,BiMo-0.5,BiMo-0.55,BiMo-0.6,BiMo-0.65,BiMo-0.7,BiMo-0.75,BiMo-0.8,BiMo-0.9,BiMo-0.95,BiMo-0.85
1%=0.01,0.185009407,0.189639036,0.189639036,0.189639036,0.191554745,0.191554745,0.18599919,0.18599919,0.19062882,0.198756392,0.198756392,0.198756392,0.198756392,0.194856557,0.196914171,0.186728986,0.170439378,0.166867949,0.17606842
2%=0.02,0.307932188,0.304899916,0.306815624,0.30417012,0.308069957,0.276985303,0.281614933,0.275442093,0.273457965,0.278087595,0.278229498,0.278229498,0.268529324,0.278449958,0.274591933,0.274261246,0.260073345,0.252952454,0.246184455
3%=0.03,0.353880476,0.359850261,0.369109518,0.377638986,0.370491486,0.379040635,0.379040635,0.378972217,0.378972217,0.386908724,0.393008078,0.388378448,0.381103313,0.374820244,0.366731695,0.363424819,0.35721017,0.358863609,0.354569735
4%=0.04,0.408804128,0.407212184,0.423967035,0.428596663,0.426451292,0.437253765,0.44024736,0.449524024,0.461693336,0.464338839,0.466396452,0.464596041,0.460034827,0.454082447,0.449783506,0.459042763,0.45375176,0.447463622,0.438025719
5%=0.05,0.456797954,0.459791549,0.468321015,0.474052942,0.474052942,0.478523608,0.488444241,0.495388685,0.502333127,0.504317257,0.506301383,0.503545651,0.503545651,0.503545651,0.503545651,0.503545651,0.508155938,0.501867802,0.490060939
6%=0.06,0.487522529,0.511925015,0.51423983,0.513357996,0.513027306,0.522507023,0.530994675,0.534081095,0.534081095,0.533106436,0.535090562,0.545231655,0.545231655,0.53046093,0.532775746,0.529689326,0.531746939,0.53509056,0.524177868
7%=0.07,0.512684276,0.529659588,0.53395853,0.55208022,0.56100879,0.561738583,0.558855217,0.557880558,0.558497844,0.562466098,0.562466098,0.557836469,0.559176626,0.5571925,0.5571925,0.556217841,0.546779933,0.539063882,0.541581754
8%=0.08,0.540498798,0.548087218,0.559815609,0.577011372,0.579326187,0.580300846,0.585499026,0.575357933,0.579326187,0.577410479,0.577410479,0.56889614,0.570811849,0.570811849,0.573126663,0.568497034,0.564381808,0.559384748,0.558103807
9%=0.09,0.561944432,0.584550711,0.598733539,0.598733539,0.593332305,0.600479803,0.599505144,0.599505144,0.593621182,0.595536891,0.5974526,0.595503283,0.587414734,0.591645258,0.586089704,0.586089704,0.578074643,0.577817442,0.583297234
10%=0.1,0.600845306,0.61876046,0.6249333,0.623279859,0.620193438,0.61179861,0.609795146,0.6077426,0.60965831,0.60965831,0.60965831,0.603740738,0.606055553,0.604139843,0.601825028,0.595652189,0.591794164,0.59061104,0.603701716
11%=0.11,0.616712986,0.638172883,0.633170755,0.633170755,0.6292025,0.629148352,0.623034731,0.631123278,0.621606817,0.615580948,0.623865549,0.624264657,0.624264657,0.616921103,0.616921103,0.616921103,0.618403167,0.618403167,0.627581669
12%=0.12,0.625018858,0.650667467,0.659669527,0.653496688,0.65041027,0.647416673,0.6452713,0.637187822,0.639103532,0.641418346,0.640443688,0.635500773,0.639358798,0.639358798,0.637301184,0.639615998,0.63770029,0.630755844,0.641673615
13%=0.13,0.647419806,0.665917784,0.663933658,0.662904854,0.659419325,0.659223277,0.660563431,0.658621116,0.655534696,0.653624054,0.65033458,0.655532761,0.657847577,0.651821711,0.651821711,0.647853456,0.645937745,0.646194948,0.651403265
14%=0.14,0.667226264,0.674926844,0.671840423,0.67191391,0.669714395,0.666627977,0.668800889,0.668800889,0.665714468,0.667772081,0.666797423,0.668137577,0.664169321,0.662111708,0.660458272,0.660458272,0.665087904,0.658804833,0.661389286
15%=0.15,0.685305801,0.682956172,0.679874826,0.68090363,0.686015992,0.678630629,0.673890774,0.680063614,0.680063614,0.676977192,0.669829695,0.672144509,0.672144509,0.679088957,0.681660972,0.677692716,0.67903287,0.681016997,0.675909811
