software,TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
software01,2,2,2
software02,1.972222222,1.972222222,2.055555556
software03,2.111111111,1.861111111,2.027777778
software04,2.027777778,1.916666667,2.055555556
software05,1.944444444,2,2.055555556
software06,2.138888889,1.888888889,1.972222222
software07,2.083333333,1.805555556,2.111111111
software08,2.111111111,1.777777778,2.111111111
software09,1.888888889,2.111111111,2
software10,1.916666667,2.138888889,1.944444444
software11,1.944444444,2.111111111,1.944444444
software12,2,2.111111111,1.888888889
software13,1.916666667,2.166666667,1.916666667
software14,1.972222222,2.027777778,2
software15,2.055555556,2.027777778,1.916666667
software16,1.833333333,2.138888889,2.027777778
software17,1.805555556,2.111111111,2.083333333
software18,1.861111111,2.194444444,1.944444444
software19,2,2.111111111,1.888888889
software20,2,2.138888889,1.861111111
software21,1.972222222,2.277777778,1.75
software22,2.027777778,2.166666667,1.805555556
software23,2.138888889,2.055555556,1.805555556
software24,2.055555556,2.055555556,1.888888889
software25,2.055555556,2.166666667,1.777777778
software26,2.055555556,2.055555556,1.888888889
software27,2.138888889,2,1.861111111
software28,2.166666667,2,1.833333333
software29,2.277777778,1.805555556,1.916666667
software30,2.194444444,1.777777778,2.027777778
