ant_main(10),TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
1%=0.01,0.20000000298023224,0.20000000298023224,0.4000000059604645
2%=0.02,0.5,0.5,0.5
3%=0.03,0.6000000238418579,0.6000000238418579,0.699999988079071
4%=0.04,0.800000011920929,0.800000011920929,0.800000011920929
5%=0.05,0.800000011920929,0.800000011920929,0.800000011920929
6%=0.06,0.800000011920929,0.800000011920929,0.800000011920929
7%=0.07,0.800000011920929,0.800000011920929,0.800000011920929
8%=0.08,0.800000011920929,0.800000011920929,0.800000011920929
9%=0.09,0.800000011920929,0.800000011920929,0.800000011920929
10%=0.1,0.800000011920929,0.800000011920929,0.800000011920929
11%=0.11,0.800000011920929,0.800000011920929,0.8999999761581421
12%=0.12,0.800000011920929,0.800000011920929,0.8999999761581421
13%=0.13,0.800000011920929,0.800000011920929,0.8999999761581421
14%=0.14,0.8999999761581421,0.800000011920929,0.8999999761581421
15%=0.15,0.8999999761581421,0.8999999761581421,0.8999999761581421
1%=0.01,0.3333333432674408,0.5,0.5
2%=0.02,0.5,0.6666666865348816,0.5
3%=0.03,0.75,0.75,0.8333333134651184
4%=0.04,0.9166666865348816,0.9166666865348816,1.0
5%=0.05,0.9166666865348816,0.9166666865348816,1.0
6%=0.06,1.0,1.0,1.0
7%=0.07,1.0,1.0,1.0
8%=0.08,1.0,1.0,1.0
9%=0.09,1.0,1.0,1.0
10%=0.1,1.0,1.0,1.0
11%=0.11,1.0,1.0,1.0
12%=0.12,1.0,1.0,1.0
13%=0.13,1.0,1.0,1.0
14%=0.14,1.0,1.0,1.0
15%=0.15,1.0,1.0,1.0
1%=0.01,0.03703703731298447,0.03703703731298447,0.03703703731298447
2%=0.02,0.1111111119389534,0.1111111119389534,0.07407407462596893
3%=0.03,0.1111111119389534,0.1111111119389534,0.1111111119389534
4%=0.04,0.1111111119389534,0.14814814925193787,0.14814814925193787
5%=0.05,0.14814814925193787,0.2222222238779068,0.2222222238779068
6%=0.06,0.14814814925193787,0.2222222238779068,0.2222222238779068
7%=0.07,0.18518517911434174,0.2222222238779068,0.2222222238779068
8%=0.08,0.18518517911434174,0.2222222238779068,0.25925925374031067
9%=0.09,0.25925925374031067,0.29629629850387573,0.29629629850387573
10%=0.1,0.29629629850387573,0.3333333432674408,0.29629629850387573
11%=0.11,0.3333333432674408,0.3333333432674408,0.3333333432674408
12%=0.12,0.37037035822868347,0.40740740299224854,0.40740740299224854
