Xerces(6),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1%=0.01,0.1666666666666666,0.0,0.0
1%=0.02,0.1666666666666666,0.1666666666666666,0.1666666666666666
3%=0.03,0.1666666666666666,0.3333333333333333,0.1666666666666666
3%=0.04,0.1666666666666666,0.3333333333333333,0.1666666666666666
5%=0.05,0.5,0.6666666666666666,0.3333333333333333
5%=0.06,0.6666666666666666,0.6666666666666666,0.6666666666666666
6%=0.07,0.6666666666666666,0.6666666666666666,0.6666666666666666
7%=0.08,0.8333333333333334,0.6666666666666666,0.6666666666666666
8%=0.09,0.8333333333333334,0.8333333333333334,0.8333333333333334
9%=0.10,0.8333333333333334,0.8333333333333334,0.8333333333333334
10%=0.11,0.8333333333333334,0.8333333333333334,0.8333333333333334
11%=0.12,0.8333333333333334,0.8333333333333334,0.8333333333333334
12%=0.13,0.8333333333333334,0.8333333333333334,0.8333333333333334
13%=0.14,0.8333333333333334,0.8333333333333334,0.8333333333333334
15%=0.15,0.8333333333333334,0.8333333333333334,0.8333333333333334
