tomcat(28),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1%=0.01,0.25,0.1428571428571428,0.1785714285714285
1%=0.02,0.2857142857142857,0.3214285714285714,0.2857142857142857
3%=0.03,0.4642857142857143,0.4642857142857143,0.4285714285714285
3%=0.04,0.6071428571428571,0.5714285714285714,0.5714285714285714
5%=0.05,0.6785714285714286,0.6428571428571429,0.6428571428571429
5%=0.06,0.75,0.7142857142857143,0.6785714285714286
6%=0.07,0.7857142857142857,0.7857142857142857,0.7142857142857143
7%=0.08,0.8571428571428571,0.7857142857142857,0.75
8%=0.09,0.8928571428571429,0.8214285714285714,0.8214285714285714
9%=0.10,0.8928571428571429,0.8928571428571429,0.8571428571428571
10%=0.11,0.8928571428571429,0.8928571428571429,0.8928571428571429
11%=0.12,0.8928571428571429,0.8928571428571429,0.8928571428571429
12%=0.13,0.8928571428571429,0.8928571428571429,0.8928571428571429
13%=0.14,0.8928571428571429,0.8928571428571429,0.8928571428571429
15%=0.15,0.9285714285714286,0.8928571428571429,0.8928571428571429
