neuroph(24),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1%=0.01,0.0416666666666666,0.0416666666666666,0.0416666666666666
1%=0.02,0.125,0.125,0.125
3%=0.03,0.1666666666666666,0.2083333333333333,0.1666666666666666
3%=0.04,0.2083333333333333,0.25,0.2083333333333333
5%=0.05,0.25,0.25,0.25
5%=0.06,0.3333333333333333,0.3333333333333333,0.3333333333333333
6%=0.07,0.375,0.375,0.375
7%=0.08,0.4166666666666667,0.4166666666666667,0.4166666666666667
8%=0.09,0.4583333333333333,0.4166666666666667,0.4166666666666667
9%=0.10,0.4583333333333333,0.4583333333333333,0.5
10%=0.11,0.4583333333333333,0.5,0.5
11%=0.12,0.5,0.5416666666666666,0.5416666666666666
12%=0.13,0.5,0.5416666666666666,0.5416666666666666
13%=0.14,0.5416666666666666,0.5833333333333334,0.5416666666666666
15%=0.15,0.5416666666666666,0.625,0.5416666666666666
