javaclient(57),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1%=0.01,0.0175438596491228,0.0175438596491228,0.0175438596491228
1%=0.02,0.0350877192982456,0.0350877192982456,0.0350877192982456
3%=0.03,0.0350877192982456,0.0350877192982456,0.0350877192982456
3%=0.04,0.0350877192982456,0.0350877192982456,0.0350877192982456
5%=0.05,0.0526315789473684,0.0526315789473684,0.0526315789473684
5%=0.06,0.087719298245614,0.0701754385964912,0.087719298245614
6%=0.07,0.1228070175438596,0.1052631578947368,0.1228070175438596
7%=0.08,0.1929824561403508,0.1228070175438596,0.1929824561403508
8%=0.09,0.1929824561403508,0.1403508771929824,0.1929824561403508
9%=0.10,0.2105263157894736,0.2105263157894736,0.2105263157894736
10%=0.11,0.2105263157894736,0.2105263157894736,0.2105263157894736
11%=0.12,0.3157894736842105,0.2280701754385964,0.3333333333333333
12%=0.13,0.3157894736842105,0.2280701754385964,0.3333333333333333
13%=0.14,0.3508771929824561,0.3333333333333333,0.3508771929824561
15%=0.15,0.3859649122807017,0.3333333333333333,0.3859649122807017
