JPMC(24),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1%=0.01,0.0,0.0,0.0
1%=0.02,0.0,0.0,0.0
3%=0.03,0.0416666666666666,0.0,0.0
3%=0.04,0.0416666666666666,0.0416666666666666,0.0416666666666666
5%=0.05,0.0416666666666666,0.0416666666666666,0.0416666666666666
5%=0.06,0.0833333333333333,0.0416666666666666,0.0833333333333333
6%=0.07,0.0833333333333333,0.0833333333333333,0.0833333333333333
7%=0.08,0.0833333333333333,0.0833333333333333,0.0833333333333333
8%=0.09,0.0833333333333333,0.0833333333333333,0.0833333333333333
9%=0.10,0.0833333333333333,0.0833333333333333,0.0833333333333333
10%=0.11,0.0833333333333333,0.0833333333333333,0.0833333333333333
11%=0.12,0.125,0.0833333333333333,0.0833333333333333
12%=0.13,0.125,0.125,0.125
13%=0.14,0.125,0.125,0.125
15%=0.15,0.125,0.1666666666666666,0.125
