software23,PrideWithMotifPride,TSPrideWithMotifCoreness
ant_main(10)23,0.5,0.6
argouml(12)23,0.75,0.8333333333333334
gwtportlets(27)23,0.4444444444444444,0.5185185185185185
javaclient(57)23,0.19298245614035087,0.2631578947368421
jedit(7)23,0.8571428571428571,0.8571428571428571
jgap(18)23,0.2222222222222222,0.2222222222222222
jhotdraw(9)23,0.8888888888888888,0.7777777777777778
jmeter_core(14)23,0.2857142857142857,0.35714285714285715
JPMC(24)23,0.041666666666666664,0.125
log4j(9)23,0.3333333333333333,0.3333333333333333
Mars(29)23,0.1724137931034483,0.3103448275862069
Maze(27)23,0.5555555555555556,0.5555555555555556
neuroph(24)23,0.5,0.5416666666666666
PDFBox(12)23,0.25,0.25
tomcat(28)23,0.17857142857142858,0.21428571428571427
wro4j(12)23,0.75,0.9166666666666666
Xerces(6)23,0.0,0.16666666666666666
xuml(37)23,0.0,0.0
