software19,PrideWithMotifPride,TSPrideWithMotifCoreness
ant_main(10)19,0.5,0.5
argouml(12)19,0.6666666666666666,0.6666666666666666
gwtportlets(27)19,0.4444444444444444,0.4444444444444444
javaclient(57)19,0.12280701754385964,0.19298245614035087
jedit(7)19,0.8571428571428571,0.8571428571428571
jgap(18)19,0.2222222222222222,0.16666666666666666
jhotdraw(9)19,0.5555555555555556,0.6666666666666666
jmeter_core(14)19,0.2857142857142857,0.35714285714285715
JPMC(24)19,0.0,0.125
log4j(9)19,0.3333333333333333,0.3333333333333333
Mars(29)19,0.1724137931034483,0.2413793103448276
Maze(27)19,0.4444444444444444,0.5555555555555556
neuroph(24)19,0.5,0.5
PDFBox(12)19,0.25,0.25
tomcat(28)19,0.17857142857142858,0.17857142857142858
wro4j(12)19,0.5,0.75
Xerces(6)19,0.0,0.16666666666666666
xuml(37)19,0.0,0.0
