software05,PrideWithMotifPride,TSPrideWithMotifCoreness
ant_main(10)5,0.2,0.2
argouml(12)5,0.3333333333333333,0.3333333333333333
gwtportlets(27)5,0.14814814814814814,0.14814814814814814
javaclient(57)5,0.03508771929824561,0.03508771929824561
jedit(7)5,0.42857142857142855,0.42857142857142855
jgap(18)5,0.05555555555555555,0.05555555555555555
jhotdraw(9)5,0.2222222222222222,0.2222222222222222
jmeter_core(14)5,0.14285714285714285,0.07142857142857142
JPMC(24)5,0.0,0.041666666666666664
log4j(9)5,0.1111111111111111,0.1111111111111111
Mars(29)5,0.06896551724137931,0.06896551724137931
Maze(27)5,0.18518518518518517,0.18518518518518517
neuroph(24)5,0.16666666666666666,0.16666666666666666
PDFBox(12)5,0.0,0.0
tomcat(28)5,0.07142857142857142,0.03571428571428571
wro4j(12)5,0.25,0.25
Xerces(6)5,0.0,0.0
xuml(37)5,0.0,0.0
