software18,PrideWithMotifPride,TSPrideWithMotifCoreness
ant_main(10)18,0.5,0.5
argouml(12)18,0.6666666666666666,0.5833333333333334
gwtportlets(27)18,0.4444444444444444,0.4074074074074074
javaclient(57)18,0.10526315789473684,0.17543859649122806
jedit(7)18,0.8571428571428571,0.8571428571428571
jgap(18)18,0.2222222222222222,0.16666666666666666
jhotdraw(9)18,0.5555555555555556,0.6666666666666666
jmeter_core(14)18,0.21428571428571427,0.35714285714285715
JPMC(24)18,0.0,0.125
log4j(9)18,0.3333333333333333,0.3333333333333333
Mars(29)18,0.1724137931034483,0.2413793103448276
Maze(27)18,0.4444444444444444,0.5185185185185185
neuroph(24)18,0.4583333333333333,0.5
PDFBox(12)18,0.25,0.25
tomcat(28)18,0.17857142857142858,0.17857142857142858
wro4j(12)18,0.5,0.75
Xerces(6)18,0.0,0.16666666666666666
xuml(37)18,0.0,0.0
