software10,PrideWithMotifPride,TSPrideWithMotifCoreness
ant_main(10)10,0.3,0.4
argouml(12)10,0.5,0.5
gwtportlets(27)10,0.2962962962962963,0.2962962962962963
javaclient(57)10,0.03508771929824561,0.05263157894736842
jedit(7)10,0.7142857142857143,0.5714285714285714
jgap(18)10,0.1111111111111111,0.1111111111111111
jhotdraw(9)10,0.2222222222222222,0.2222222222222222
jmeter_core(14)10,0.21428571428571427,0.21428571428571427
JPMC(24)10,0.0,0.08333333333333333
log4j(9)10,0.2222222222222222,0.2222222222222222
Mars(29)10,0.13793103448275862,0.13793103448275862
Maze(27)10,0.3333333333333333,0.3333333333333333
neuroph(24)10,0.3333333333333333,0.3333333333333333
PDFBox(12)10,0.08333333333333333,0.16666666666666666
tomcat(28)10,0.10714285714285714,0.10714285714285714
wro4j(12)10,0.3333333333333333,0.3333333333333333
Xerces(6)10,0.0,0.0
xuml(37)10,0.0,0.0
