software28,PrideWithMotifPride,TSPrideWithMotifCoreness
ant_main(10)28,0.5,0.7
argouml(12)28,0.75,0.8333333333333334
gwtportlets(27)28,0.5185185185185185,0.5925925925925926
javaclient(57)28,0.2807017543859649,0.3333333333333333
jedit(7)28,0.8571428571428571,0.8571428571428571
jgap(18)28,0.2777777777777778,0.2222222222222222
jhotdraw(9)28,0.8888888888888888,0.8888888888888888
jmeter_core(14)28,0.2857142857142857,0.5
JPMC(24)28,0.08333333333333333,0.20833333333333334
log4j(9)28,0.3333333333333333,0.3333333333333333
Mars(29)28,0.2413793103448276,0.3103448275862069
Maze(27)28,0.5555555555555556,0.5555555555555556
neuroph(24)28,0.5,0.5416666666666666
PDFBox(12)28,0.4166666666666667,0.25
tomcat(28)28,0.17857142857142858,0.25
wro4j(12)28,1.0,1.0
Xerces(6)28,0.0,0.16666666666666666
xuml(37)28,0.0,0.0
