software17,PrideWithMotifPride,TSPrideWithMotifCoreness
ant_main(10)17,0.5,0.5
argouml(12)17,0.6666666666666666,0.5
gwtportlets(27)17,0.4074074074074074,0.4074074074074074
javaclient(57)17,0.08771929824561403,0.15789473684210525
jedit(7)17,0.8571428571428571,0.7142857142857143
jgap(18)17,0.2222222222222222,0.16666666666666666
jhotdraw(9)17,0.5555555555555556,0.5555555555555556
jmeter_core(14)17,0.21428571428571427,0.35714285714285715
JPMC(24)17,0.0,0.08333333333333333
log4j(9)17,0.3333333333333333,0.3333333333333333
Mars(29)17,0.1724137931034483,0.2413793103448276
Maze(27)17,0.4444444444444444,0.5185185185185185
neuroph(24)17,0.4583333333333333,0.5
PDFBox(12)17,0.25,0.25
tomcat(28)17,0.17857142857142858,0.14285714285714285
wro4j(12)17,0.5,0.6666666666666666
Xerces(6)17,0.0,0.16666666666666666
xuml(37)17,0.0,0.0
