software04,PrideWithMotifPride,TSPrideWithMotifCoreness
ant_main(10)4,0.1,0.1
argouml(12)4,0.3333333333333333,0.25
gwtportlets(27)4,0.1111111111111111,0.1111111111111111
javaclient(57)4,0.017543859649122806,0.03508771929824561
jedit(7)4,0.42857142857142855,0.42857142857142855
jgap(18)4,0.0,0.0
jhotdraw(9)4,0.1111111111111111,0.2222222222222222
jmeter_core(14)4,0.07142857142857142,0.07142857142857142
JPMC(24)4,0.0,0.0
log4j(9)4,0.1111111111111111,0.1111111111111111
Mars(29)4,0.034482758620689655,0.034482758620689655
Maze(27)4,0.14814814814814814,0.14814814814814814
neuroph(24)4,0.125,0.16666666666666666
PDFBox(12)4,0.0,0.0
tomcat(28)4,0.03571428571428571,0.03571428571428571
wro4j(12)4,0.16666666666666666,0.16666666666666666
Xerces(6)4,0.0,0.0
xuml(37)4,0.0,0.0
