software11,PrideWithMotifPride,TSPrideWithMotifCoreness
ant_main(10)11,0.3,0.4
argouml(12)11,0.5,0.5
gwtportlets(27)11,0.3333333333333333,0.3333333333333333
javaclient(57)11,0.03508771929824561,0.07017543859649122
jedit(7)11,0.7142857142857143,0.7142857142857143
jgap(18)11,0.1111111111111111,0.1111111111111111
jhotdraw(9)11,0.3333333333333333,0.3333333333333333
jmeter_core(14)11,0.21428571428571427,0.21428571428571427
JPMC(24)11,0.0,0.08333333333333333
log4j(9)11,0.2222222222222222,0.2222222222222222
Mars(29)11,0.1724137931034483,0.13793103448275862
Maze(27)11,0.37037037037037035,0.37037037037037035
neuroph(24)11,0.375,0.375
PDFBox(12)11,0.08333333333333333,0.16666666666666666
tomcat(28)11,0.14285714285714285,0.14285714285714285
wro4j(12)11,0.3333333333333333,0.4166666666666667
Xerces(6)11,0.0,0.0
xuml(37)11,0.0,0.0
