software22,PrideWithMotifPride,TSPrideWithMotifCoreness
ant_main(10)22,0.5,0.6
argouml(12)22,0.75,0.8333333333333334
gwtportlets(27)22,0.4444444444444444,0.48148148148148145
javaclient(57)22,0.17543859649122806,0.24561403508771928
jedit(7)22,0.8571428571428571,0.8571428571428571
jgap(18)22,0.2222222222222222,0.2222222222222222
jhotdraw(9)22,0.7777777777777778,0.6666666666666666
jmeter_core(14)22,0.2857142857142857,0.35714285714285715
JPMC(24)22,0.041666666666666664,0.125
log4j(9)22,0.3333333333333333,0.3333333333333333
Mars(29)22,0.1724137931034483,0.27586206896551724
Maze(27)22,0.5185185185185185,0.5555555555555556
neuroph(24)22,0.5,0.5416666666666666
PDFBox(12)22,0.25,0.25
tomcat(28)22,0.17857142857142858,0.21428571428571427
wro4j(12)22,0.6666666666666666,0.9166666666666666
Xerces(6)22,0.0,0.16666666666666666
xuml(37)22,0.0,0.0
