software01,PrideWithMotifPride,TSPrideWithMotifCoreness
ant_main(10)1,0.0,0.1
argouml(12)1,0.08333333333333333,0.08333333333333333
gwtportlets(27)1,0.037037037037037035,0.037037037037037035
javaclient(57)1,0.0,0.0
jedit(7)1,0.14285714285714285,0.14285714285714285
jgap(18)1,0.0,0.0
jhotdraw(9)1,0.1111111111111111,0.1111111111111111
jmeter_core(14)1,0.07142857142857142,0.07142857142857142
JPMC(24)1,0.0,0.0
log4j(9)1,0.0,0.0
Mars(29)1,0.0,0.0
Maze(27)1,0.037037037037037035,0.037037037037037035
neuroph(24)1,0.041666666666666664,0.041666666666666664
PDFBox(12)1,0.0,0.0
tomcat(28)1,0.0,0.0
wro4j(12)1,0.08333333333333333,0.0
Xerces(6)1,0.0,0.0
xuml(37)1,0.0,0.0
