software29,PrideWithMotifPride,TSPrideWithMotifCoreness
ant_main(10)29,0.5,0.7
argouml(12)29,0.75,0.8333333333333334
gwtportlets(27)29,0.5185185185185185,0.5925925925925926
javaclient(57)29,0.2982456140350877,0.3333333333333333
jedit(7)29,0.8571428571428571,0.8571428571428571
jgap(18)29,0.2777777777777778,0.2222222222222222
jhotdraw(9)29,0.8888888888888888,0.8888888888888888
jmeter_core(14)29,0.35714285714285715,0.5
JPMC(24)29,0.08333333333333333,0.20833333333333334
log4j(9)29,0.3333333333333333,0.3333333333333333
Mars(29)29,0.2413793103448276,0.3448275862068966
Maze(27)29,0.5555555555555556,0.5925925925925926
neuroph(24)29,0.5416666666666666,0.5416666666666666
PDFBox(12)29,0.5,0.25
tomcat(28)29,0.21428571428571427,0.25
wro4j(12)29,1.0,1.0
Xerces(6)29,0.0,0.16666666666666666
xuml(37)29,0.0,0.0
