software26,PrideWithMotifPride,TSPrideWithMotifCoreness
ant_main(10)26,0.5,0.7
argouml(12)26,0.75,0.8333333333333334
gwtportlets(27)26,0.48148148148148145,0.5925925925925926
javaclient(57)26,0.24561403508771928,0.2982456140350877
jedit(7)26,0.8571428571428571,0.8571428571428571
jgap(18)26,0.2777777777777778,0.2222222222222222
jhotdraw(9)26,0.8888888888888888,0.7777777777777778
jmeter_core(14)26,0.2857142857142857,0.42857142857142855
JPMC(24)26,0.041666666666666664,0.16666666666666666
log4j(9)26,0.3333333333333333,0.3333333333333333
Mars(29)26,0.2413793103448276,0.3103448275862069
Maze(27)26,0.5555555555555556,0.5555555555555556
neuroph(24)26,0.5,0.5416666666666666
PDFBox(12)26,0.3333333333333333,0.25
tomcat(28)26,0.17857142857142858,0.25
wro4j(12)26,1.0,1.0
Xerces(6)26,0.0,0.16666666666666666
xuml(37)26,0.0,0.0
