software12,PrideWithMotifPride,TSPrideWithMotifCoreness
ant_main(10)12,0.3,0.4
argouml(12)12,0.5833333333333334,0.5
gwtportlets(27)12,0.37037037037037035,0.37037037037037035
javaclient(57)12,0.05263157894736842,0.08771929824561403
jedit(7)12,0.7142857142857143,0.7142857142857143
jgap(18)12,0.16666666666666666,0.1111111111111111
jhotdraw(9)12,0.3333333333333333,0.4444444444444444
jmeter_core(14)12,0.21428571428571427,0.2857142857142857
JPMC(24)12,0.0,0.08333333333333333
log4j(9)12,0.2222222222222222,0.2222222222222222
Mars(29)12,0.1724137931034483,0.13793103448275862
Maze(27)12,0.4074074074074074,0.4074074074074074
neuroph(24)12,0.4166666666666667,0.375
PDFBox(12)12,0.08333333333333333,0.16666666666666666
tomcat(28)12,0.14285714285714285,0.14285714285714285
wro4j(12)12,0.3333333333333333,0.4166666666666667
Xerces(6)12,0.0,0.0
xuml(37)12,0.0,0.0
