BiMo-0.05,0.495,0.511,0.501,0.294,0.306,0.305
BiMo-0.1,0.507,0.522,0.512,0.297,0.31,0.308
BiMo-0.15,0.515,0.527,0.515,0.299,0.314,0.31
BiMo-0.2,0.517,0.529,0.52,0.3,0.314,0.311
BiMo-0.25,0.519,0.529,0.522,0.303,0.314,0.31
BiMo-0.3,0.52,0.528,0.521,0.303,0.313,0.309
BiMo-0.35,0.522,0.529,0.523,0.304,0.31,0.308
BiMo-0.4,0.521,0.529,0.523,0.304,0.308,0.309
BiMo-0.45,0.522,0.53,0.523,0.304,0.309,0.311
BiMo-0.5,0.52,0.531,0.525,0.304,0.309,0.31
BiMo-0.55,0.522,0.532,0.525,0.304,0.307,0.31
BiMo-0.6,0.521,0.531,0.526,0.305,0.305,0.31
BiMo-0.65,0.52,0.529,0.523,0.303,0.304,0.309
BiMo-0.7,0.519,0.527,0.522,0.302,0.305,0.307
BiMo-0.75,0.521,0.526,0.521,0.301,0.306,0.304
BiMo-0.8,0.518,0.524,0.522,0.302,0.304,0.303
BiMo-0.9,0.514,0.521,0.518,0.293,0.296,0.296
BiMo-0.95,0.509,0.518,0.515,0.285,0.29,0.292
BiMo-0.85,0.512,0.518,0.517,0.285,0.288,0.289
