software09,TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
ant_main(10)9%=0.09,0.800000011920929,0.800000011920929,0.8999999761581421
argouml(12)9%=0.09,1.0,1.0,1.0
gwtportlets(27)9%=0.09,0.29629629850387573,0.37037035822868347,0.37037035822868347
javaclient(57)9%=0.09,0.17543859779834747,0.12280701845884323,0.19298245012760162
jedit(7)9%=0.09,1.0,1.0,1.0
jgap(18)9%=0.09,0.2222222238779068,0.3333333432674408,0.3333333432674408
jhotdraw(9)9%=0.09,0.8888888955116272,1.0,1.0
jmeter_core(14)9%=0.09,0.3571428656578064,0.3571428656578064,0.3571428656578064
JPMC(24)9%=0.09,0.125,0.0,0.0833333358168602
log4j(9)9%=0.09,0.7777777910232544,0.7777777910232544,0.7777777910232544
Mars(29)9%=0.09,0.48275861144065857,0.5517241358757019,0.5517241358757019
Maze(27)9%=0.09,0.29629629850387573,0.29629629850387573,0.29629629850387573
neuroph(24)9%=0.09,0.4166666567325592,0.4166666567325592,0.4583333432674408
PDFBox(12)9%=0.09,0.6666666865348816,0.75,0.75
tomcat(28)9%=0.09,0.6785714030265808,0.75,0.8214285969734192
wro4j(12)9%=0.09,1.0,1.0,1.0
Xerces(6)9%=0.09,0.8333333134651184,0.8333333134651184,0.8333333134651184
xuml(37)9%=0.09,0.0,0.0,0.0
