software02,TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
ant_main(10)2%=0.02,0.5,0.5,0.5
argouml(12)2%=0.02,0.5,0.75,0.5
gwtportlets(27)2%=0.02,0.1111111119389534,0.1111111119389534,0.1111111119389534
javaclient(57)2%=0.02,0.017543859779834747,0.017543859779834747,0.035087719559669495
jedit(7)2%=0.02,0.8571428656578064,0.8571428656578064,0.8571428656578064
jgap(18)2%=0.02,0.0555555559694767,0.0555555559694767,0.0555555559694767
jhotdraw(9)2%=0.02,0.2222222238779068,0.3333333432674408,0.3333333432674408
jmeter_core(14)2%=0.02,0.0714285746216774,0.0714285746216774,0.0714285746216774
JPMC(24)2%=0.02,0.0416666679084301,0.0,0.0
log4j(9)2%=0.02,0.3333333432674408,0.3333333432674408,0.3333333432674408
Mars(29)2%=0.02,0.24137930572032928,0.27586206793785095,0.27586206793785095
Maze(27)2%=0.02,0.07407407462596893,0.07407407462596893,0.07407407462596893
neuroph(24)2%=0.02,0.125,0.1666666716337204,0.1666666716337204
PDFBox(12)2%=0.02,0.25,0.25,0.25
tomcat(28)2%=0.02,0.2857142984867096,0.2857142984867096,0.2857142984867096
wro4j(12)2%=0.02,0.3333333432674408,0.4166666567325592,0.4166666567325592
Xerces(6)2%=0.02,0.1666666716337204,0.0,0.1666666716337204
xuml(37)2%=0.02,0.0,0.0,0.0
