software,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness,,
software01,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,,
software02,5.666666667,8.666666667,8.666666667,6.333333333,6.333333333,6.638888889,6,6,6,5.666666667,6.027777778,6,,1
software03,5.472222222,9.25,8.916666667,5.694444444,5.694444444,7.472222222,6.333333333,5.916666667,6.333333333,5.638888889,5.5,5.777777778,,1
software04,5.055555556,9.555555556,8.944444444,5.083333333,5.083333333,6.416666667,6.638888889,6.388888889,6.555555556,6.416666667,6.027777778,5.833333333,,1
software05,5.805555556,9.833333333,8.25,5,5,6.388888889,7.055555556,6.833333333,6.222222222,5.611111111,6.083333333,5.916666667,,1
software06,5.972222222,10.22222222,6.916666667,5.25,5.25,6.777777778,6.333333333,7.583333333,6.444444444,6.444444444,5.694444444,5.111111111,,
software07,5.638888889,10.41666667,6.805555556,5.222222222,5.222222222,6.222222222,5.777777778,7.388888889,6.861111111,6.666666667,6.222222222,5.555555556,,1
software08,5.722222222,10.52777778,7.611111111,5.555555556,5.555555556,5.722222222,5.527777778,6.805555556,6.583333333,6.388888889,6.555555556,5.444444444,,
software09,5.361111111,10.55555556,8.027777778,5.583333333,5.583333333,6.194444444,5.722222222,6.638888889,6.527777778,6.111111111,6.527777778,5.166666667,,
software10,5.75,10.69444444,7.888888889,5.75,5.75,5.75,5.944444444,6.5,6.638888889,6.416666667,5.944444444,4.972222222,,
software11,5.833333333,10.66666667,8.055555556,5.888888889,5.888888889,5.777777778,5.694444444,6.416666667,6.527777778,6.194444444,6.222222222,4.833333333,,
software12,5.833333333,10.52777778,8.333333333,5.944444444,5.944444444,5.833333333,6.166666667,6.333333333,6.75,6.416666667,5.583333333,4.333333333,,
software13,5.805555556,10.61111111,7.75,6.25,6.25,6.416666667,6.25,6.222222222,7.166666667,5.75,5.138888889,4.388888889,,
software14,6.305555556,10.69444444,7.444444444,6.444444444,6.444444444,5.75,6.138888889,6.694444444,6.888888889,5.888888889,4.694444444,4.611111111,,
software15,6.583333333,10.72222222,7.222222222,6.305555556,6.305555556,6.111111111,6.222222222,6.722222222,7.166666667,5.916666667,4.527777778,4.194444444,,
software16,6.305555556,10.80555556,7.333333333,6.333333333,6.333333333,6.25,6.194444444,6.944444444,6.916666667,5.833333333,4.666666667,4.083333333,,
software17,5.833333333,10.86111111,6.777777778,6.416666667,6.416666667,6.361111111,6.555555556,6.944444444,7,6.138888889,4.444444444,4.25,,
software18,5.694444444,10.88888889,6.694444444,6.472222222,6.472222222,5.861111111,6.527777778,7.194444444,6.944444444,6.25,4.694444444,4.305555556,,
software19,5.527777778,10.94444444,6.833333333,6.388888889,6.388888889,5.722222222,6.583333333,7.25,7.333333333,6.333333333,4.527777778,4.166666667,,
software20,5.722222222,10.83333333,6.861111111,6.388888889,6.388888889,5.805555556,6.277777778,7.416666667,7.694444444,6,4.361111111,4.25,,
software21,5.666666667,10.83333333,7.222222222,6.416666667,6.416666667,5.888888889,5.833333333,7.388888889,7.694444444,6.194444444,4.555555556,3.888888889,,
software22,5.611111111,10.86111111,7.388888889,6.583333333,6.583333333,5.861111111,5.861111111,7.222222222,7.194444444,6.027777778,4.888888889,3.916666667,,
software23,5.694444444,10.91666667,7.416666667,6,6,6,5.777777778,7.111111111,7.611111111,6.361111111,5.083333333,4.027777778,,
software24,5.361111111,11.02777778,7.111111111,6.277777778,6.277777778,5.583333333,6.166666667,7.111111111,8,6.083333333,5.083333333,3.916666667,,
software25,5.583333333,11.02777778,7.388888889,6.472222222,6.472222222,5.777777778,6.25,6.722222222,7.916666667,5.861111111,4.916666667,3.611111111,,
software26,5.333333333,11.02777778,7.472222222,6.5,6.5,5.527777778,5.944444444,6.944444444,8.055555556,5.916666667,5,3.777777778,,
software27,5.694444444,11.05555556,6.611111111,6.305555556,6.305555556,5.888888889,6.222222222,6.916666667,8,5.944444444,5.055555556,4,,
software28,5.555555556,11.11111111,6.527777778,6.583333333,6.583333333,6.166666667,6.111111111,6.722222222,8,5.75,4.666666667,4.222222222,,
software29,5.083333333,11.11111111,6.694444444,6.666666667,6.666666667,6.388888889,6.222222222,6.916666667,7.805555556,5.333333333,4.805555556,4.305555556,,
software30,5.305555556,11.11111111,6.916666667,6.333333333,6.333333333,6.527777778,6.222222222,6.861111111,7.638888889,5.361111111,4.972222222,4.416666667,,
