Mars(29),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0344827586206896,0.0344827586206896
4,0.0,0.0344827586206896,0.0344827586206896
5,0.0344827586206896,0.0344827586206896,0.0344827586206896
6,0.0344827586206896,0.0689655172413793,0.0689655172413793
7,0.0689655172413793,0.1034482758620689,0.0689655172413793
8,0.0689655172413793,0.1034482758620689,0.0689655172413793
9,0.0689655172413793,0.1379310344827586,0.1034482758620689
10,0.1034482758620689,0.1379310344827586,0.1379310344827586
11,0.1379310344827586,0.1379310344827586,0.1379310344827586
12,0.1379310344827586,0.1379310344827586,0.1379310344827586
13,0.1379310344827586,0.1379310344827586,0.1379310344827586
14,0.1724137931034483,0.1724137931034483,0.1724137931034483
15,0.1724137931034483,0.1724137931034483,0.2068965517241379
16,0.2068965517241379,0.2068965517241379,0.2068965517241379
17,0.2413793103448276,0.2068965517241379,0.2068965517241379
18,0.2413793103448276,0.2068965517241379,0.2413793103448276
19,0.2413793103448276,0.2413793103448276,0.2413793103448276
20,0.2413793103448276,0.2413793103448276,0.2413793103448276
21,0.2413793103448276,0.2413793103448276,0.2758620689655172
22,0.2413793103448276,0.2758620689655172,0.2758620689655172
23,0.2413793103448276,0.2758620689655172,0.2758620689655172
24,0.2758620689655172,0.2758620689655172,0.3103448275862069
25,0.3103448275862069,0.3103448275862069,0.3103448275862069
26,0.3103448275862069,0.3103448275862069,0.3103448275862069
27,0.3103448275862069,0.3103448275862069,0.3103448275862069
28,0.3103448275862069,0.3103448275862069,0.3103448275862069
29,0.3103448275862069,0.3103448275862069,0.3103448275862069
30,0.3448275862068966,0.3448275862068966,0.3448275862068966
