jedit(7),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1,0.0,0.0,0.0
2,0.1428571428571428,0.1428571428571428,0.1428571428571428
3,0.2857142857142857,0.2857142857142857,0.2857142857142857
4,0.4285714285714285,0.2857142857142857,0.2857142857142857
5,0.4285714285714285,0.4285714285714285,0.4285714285714285
6,0.4285714285714285,0.4285714285714285,0.4285714285714285
7,0.5714285714285714,0.5714285714285714,0.4285714285714285
8,0.5714285714285714,0.5714285714285714,0.5714285714285714
9,0.5714285714285714,0.5714285714285714,0.5714285714285714
10,0.5714285714285714,0.5714285714285714,0.5714285714285714
11,0.5714285714285714,0.5714285714285714,0.5714285714285714
12,0.7142857142857143,0.7142857142857143,0.7142857142857143
13,0.7142857142857143,0.7142857142857143,0.7142857142857143
14,0.7142857142857143,0.8571428571428571,0.7142857142857143
15,0.7142857142857143,0.8571428571428571,0.7142857142857143
16,0.7142857142857143,0.8571428571428571,0.7142857142857143
17,0.8571428571428571,0.8571428571428571,0.7142857142857143
18,0.8571428571428571,0.8571428571428571,0.7142857142857143
19,0.8571428571428571,0.8571428571428571,0.8571428571428571
20,0.8571428571428571,0.8571428571428571,0.8571428571428571
21,0.8571428571428571,0.8571428571428571,0.8571428571428571
22,0.8571428571428571,0.8571428571428571,0.8571428571428571
23,0.8571428571428571,0.8571428571428571,0.8571428571428571
24,0.8571428571428571,0.8571428571428571,0.8571428571428571
25,0.8571428571428571,0.8571428571428571,0.8571428571428571
26,0.8571428571428571,0.8571428571428571,0.8571428571428571
27,0.8571428571428571,0.8571428571428571,0.8571428571428571
28,0.8571428571428571,0.8571428571428571,0.8571428571428571
29,0.8571428571428571,0.8571428571428571,0.8571428571428571
30,0.8571428571428571,0.8571428571428571,0.8571428571428571
