argouml(12),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1,0.0,0.0,0.0
2,0.0833333333333333,0.0833333333333333,0.0833333333333333
3,0.1666666666666666,0.1666666666666666,0.1666666666666666
4,0.25,0.25,0.25
5,0.25,0.25,0.25
6,0.3333333333333333,0.3333333333333333,0.3333333333333333
7,0.3333333333333333,0.4166666666666667,0.3333333333333333
8,0.4166666666666667,0.4166666666666667,0.4166666666666667
9,0.5,0.5,0.5
10,0.5,0.5,0.5
11,0.5,0.5,0.5
12,0.5,0.5,0.5
13,0.5,0.5,0.5
14,0.5,0.5,0.5
15,0.5,0.5,0.5
16,0.5,0.5,0.5
17,0.5,0.5,0.5
18,0.5,0.5,0.5
19,0.5833333333333334,0.5833333333333334,0.5833333333333334
20,0.5833333333333334,0.5833333333333334,0.6666666666666666
21,0.5833333333333334,0.6666666666666666,0.75
22,0.5833333333333334,0.6666666666666666,0.8333333333333334
23,0.5833333333333334,0.75,0.8333333333333334
24,0.5833333333333334,0.75,0.8333333333333334
25,0.6666666666666666,0.75,0.8333333333333334
26,0.6666666666666666,0.8333333333333334,0.8333333333333334
27,0.6666666666666666,0.8333333333333334,0.8333333333333334
28,0.75,0.8333333333333334,0.8333333333333334
29,0.75,0.8333333333333334,0.8333333333333334
30,0.75,0.8333333333333334,0.8333333333333334
