jmeter_core(14),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1,0.0,0.0,0.0
2,0.0714285714285714,0.0714285714285714,0.0714285714285714
3,0.0714285714285714,0.0714285714285714,0.0714285714285714
4,0.0714285714285714,0.0714285714285714,0.0714285714285714
5,0.0714285714285714,0.0714285714285714,0.0714285714285714
6,0.0714285714285714,0.0714285714285714,0.0714285714285714
7,0.0714285714285714,0.0714285714285714,0.0714285714285714
8,0.0714285714285714,0.0714285714285714,0.0714285714285714
9,0.1428571428571428,0.0714285714285714,0.0714285714285714
10,0.2142857142857142,0.1428571428571428,0.1428571428571428
11,0.2142857142857142,0.1428571428571428,0.2142857142857142
12,0.2142857142857142,0.2142857142857142,0.2142857142857142
13,0.2142857142857142,0.2857142857142857,0.2857142857142857
14,0.2857142857142857,0.2857142857142857,0.3571428571428571
15,0.3571428571428571,0.3571428571428571,0.3571428571428571
16,0.3571428571428571,0.3571428571428571,0.3571428571428571
17,0.3571428571428571,0.3571428571428571,0.3571428571428571
18,0.3571428571428571,0.3571428571428571,0.3571428571428571
19,0.3571428571428571,0.3571428571428571,0.3571428571428571
20,0.3571428571428571,0.3571428571428571,0.3571428571428571
21,0.3571428571428571,0.3571428571428571,0.3571428571428571
22,0.3571428571428571,0.3571428571428571,0.3571428571428571
23,0.3571428571428571,0.3571428571428571,0.3571428571428571
24,0.3571428571428571,0.3571428571428571,0.3571428571428571
25,0.3571428571428571,0.3571428571428571,0.4285714285714285
26,0.3571428571428571,0.4285714285714285,0.4285714285714285
27,0.3571428571428571,0.4285714285714285,0.4285714285714285
28,0.3571428571428571,0.4285714285714285,0.5
29,0.3571428571428571,0.4285714285714285,0.5
30,0.3571428571428571,0.5,0.5
