Xerces(6),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.1666666666666666,0.0,0.0
9,0.1666666666666666,0.0,0.0
10,0.1666666666666666,0.0,0.0
11,0.1666666666666666,0.0,0.0
12,0.1666666666666666,0.0,0.0
13,0.1666666666666666,0.0,0.0
14,0.1666666666666666,0.0,0.0
15,0.1666666666666666,0.0,0.0
16,0.1666666666666666,0.1666666666666666,0.1666666666666666
17,0.1666666666666666,0.1666666666666666,0.1666666666666666
18,0.1666666666666666,0.1666666666666666,0.1666666666666666
19,0.1666666666666666,0.1666666666666666,0.1666666666666666
20,0.1666666666666666,0.1666666666666666,0.1666666666666666
21,0.1666666666666666,0.1666666666666666,0.1666666666666666
22,0.1666666666666666,0.1666666666666666,0.1666666666666666
23,0.1666666666666666,0.1666666666666666,0.1666666666666666
24,0.1666666666666666,0.1666666666666666,0.1666666666666666
25,0.1666666666666666,0.1666666666666666,0.1666666666666666
26,0.1666666666666666,0.1666666666666666,0.1666666666666666
27,0.1666666666666666,0.1666666666666666,0.1666666666666666
28,0.1666666666666666,0.1666666666666666,0.1666666666666666
29,0.1666666666666666,0.3333333333333333,0.1666666666666666
30,0.1666666666666666,0.3333333333333333,0.1666666666666666
