ant_main(10),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1,0.0,0.0,0.0
2,0.1,0.1,0.1
3,0.1,0.1,0.1
4,0.1,0.1,0.1
5,0.1,0.1,0.1
6,0.2,0.2,0.2
7,0.2,0.2,0.3
8,0.3,0.3,0.3
9,0.3,0.3,0.3
10,0.4,0.4,0.3
11,0.4,0.4,0.4
12,0.5,0.4,0.4
13,0.5,0.4,0.4
14,0.5,0.4,0.4
15,0.5,0.5,0.5
16,0.5,0.5,0.5
17,0.5,0.5,0.5
18,0.5,0.5,0.5
19,0.6,0.5,0.5
20,0.6,0.5,0.5
21,0.6,0.5,0.5
22,0.6,0.5,0.5
23,0.6,0.5,0.6
24,0.7,0.6,0.6
25,0.7,0.6,0.6
26,0.7,0.6,0.6
27,0.7,0.6,0.7
28,0.7,0.7,0.7
29,0.7,0.8,0.7
30,0.7,0.8,0.7
