tomcat(28),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0357142857142857,0.0357142857142857,0.0357142857142857
6,0.0357142857142857,0.0714285714285714,0.0357142857142857
7,0.0714285714285714,0.0714285714285714,0.0357142857142857
8,0.0714285714285714,0.0714285714285714,0.0714285714285714
9,0.1071428571428571,0.0714285714285714,0.0714285714285714
10,0.1428571428571428,0.1071428571428571,0.0714285714285714
11,0.1428571428571428,0.1071428571428571,0.1071428571428571
12,0.1428571428571428,0.1071428571428571,0.1428571428571428
13,0.1428571428571428,0.1071428571428571,0.1428571428571428
14,0.1428571428571428,0.1428571428571428,0.1428571428571428
15,0.1428571428571428,0.1428571428571428,0.1428571428571428
16,0.1785714285714285,0.1428571428571428,0.1428571428571428
17,0.2142857142857142,0.1428571428571428,0.1428571428571428
18,0.25,0.1428571428571428,0.1428571428571428
19,0.25,0.1428571428571428,0.1785714285714285
20,0.25,0.1428571428571428,0.1785714285714285
21,0.25,0.1428571428571428,0.1785714285714285
22,0.25,0.1428571428571428,0.2142857142857142
23,0.25,0.1785714285714285,0.2142857142857142
24,0.2857142857142857,0.1785714285714285,0.2142857142857142
25,0.2857142857142857,0.2142857142857142,0.25
26,0.2857142857142857,0.2142857142857142,0.25
27,0.2857142857142857,0.25,0.25
28,0.2857142857142857,0.25,0.25
29,0.2857142857142857,0.25,0.25
30,0.2857142857142857,0.25,0.25
