wro4j(12),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1,0.0,0.0,0.0
2,0.0,0.0833333333333333,0.0
3,0.0,0.1666666666666666,0.0
4,0.0,0.25,0.0833333333333333
5,0.0,0.25,0.1666666666666666
6,0.0833333333333333,0.25,0.25
7,0.1666666666666666,0.3333333333333333,0.25
8,0.25,0.3333333333333333,0.25
9,0.25,0.3333333333333333,0.3333333333333333
10,0.25,0.3333333333333333,0.3333333333333333
11,0.25,0.3333333333333333,0.3333333333333333
12,0.25,0.3333333333333333,0.4166666666666667
13,0.25,0.4166666666666667,0.4166666666666667
14,0.3333333333333333,0.5,0.4166666666666667
15,0.3333333333333333,0.5833333333333334,0.4166666666666667
16,0.4166666666666667,0.5833333333333334,0.5
17,0.5,0.6666666666666666,0.5833333333333334
18,0.5833333333333334,0.6666666666666666,0.6666666666666666
19,0.6666666666666666,0.75,0.75
20,0.6666666666666666,0.75,0.75
21,0.75,0.75,0.8333333333333334
22,0.75,0.75,0.9166666666666666
23,0.8333333333333334,0.8333333333333334,0.9166666666666666
24,0.9166666666666666,0.9166666666666666,0.9166666666666666
25,0.9166666666666666,0.9166666666666666,1.0
26,1.0,1.0,1.0
27,1.0,1.0,1.0
28,1.0,1.0,1.0
29,1.0,1.0,1.0
30,1.0,1.0,1.0
