PDFBox(12),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0833333333333333,0.0833333333333333
9,0.0,0.0833333333333333,0.0833333333333333
10,0.0833333333333333,0.0833333333333333,0.1666666666666666
11,0.0833333333333333,0.1666666666666666,0.1666666666666666
12,0.0833333333333333,0.1666666666666666,0.1666666666666666
13,0.1666666666666666,0.1666666666666666,0.1666666666666666
14,0.1666666666666666,0.25,0.1666666666666666
15,0.1666666666666666,0.25,0.1666666666666666
16,0.25,0.25,0.25
17,0.25,0.25,0.25
18,0.25,0.25,0.25
19,0.25,0.25,0.25
20,0.25,0.25,0.25
21,0.25,0.25,0.25
22,0.25,0.25,0.25
23,0.25,0.25,0.25
24,0.25,0.25,0.25
25,0.25,0.25,0.25
26,0.25,0.25,0.25
27,0.25,0.25,0.25
28,0.25,0.25,0.25
29,0.25,0.25,0.25
30,0.25,0.3333333333333333,0.25
