software,PrideWithMotifPride,TSPrideWithMotifCoreness
software01,1.527777778,1.472222222
software02,1.527777778,1.472222222
software03,1.611111111,1.388888889
software04,1.638888889,1.361111111
software05,1.694444444,1.305555556
software06,1.694444444,1.305555556
software07,1.666666667,1.333333333
software08,1.75,1.25
software09,1.833333333,1.166666667
software10,1.833333333,1.166666667
software11,1.777777778,1.222222222
software12,1.722222222,1.277777778
software13,1.722222222,1.277777778
software14,1.611111111,1.388888889
software15,1.638888889,1.361111111
