software,PrideWithMotifPride,TSPrideWithMotifCoreness
software01,1.5,1.5
software02,1.555555556,1.444444444
software03,1.694444444,1.305555556
software04,1.694444444,1.305555556
software05,1.694444444,1.305555556
software06,1.777777778,1.222222222
software07,1.75,1.25
software08,1.777777778,1.222222222
software09,1.777777778,1.222222222
software10,1.722222222,1.277777778
software11,1.777777778,1.222222222
software12,1.805555556,1.194444444
software13,1.694444444,1.305555556
software14,1.75,1.25
software15,1.666666667,1.333333333
