software,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
software01,5.611111111111112,10.722222222222221,6.944444444444444,6.388888888888889,6.388888888888889,6.777777777777777,6.305555555555555,6.499999999999999,6.166666666666667,6.277777777777778,5.527777777777779,4.388888888888889
software10,5.888888888888889,11.08333333333333,7.027777777777779,6.3611111111111125,6.3611111111111125,6.833333333333333,6.36111111111111,6.777777777777779,7.333333333333334,5.88888888888889,4.416666666666666,3.6666666666666665
software11,6.1944444444444455,11.08333333333333,6.805555555555556,6.38888888888889,6.38888888888889,7.194444444444445,6.25,7.0277777777777795,7.222222222222223,5.277777777777778,4.416666666666667,3.7499999999999996
software12,6.027777777777778,11.111111111111109,6.416666666666667,6.805555555555556,6.805555555555556,6.916666666666668,6.25,6.750000000000002,7.5277777777777795,5.027777777777778,4.472222222222222,3.8888888888888893
software13,5.6944444444444455,10.97222222222222,6.361111111111112,6.750000000000001,6.750000000000001,7.027777777777779,6.277777777777779,7.13888888888889,7.305555555555556,5.222222222222223,4.722222222222222,3.7777777777777777
software14,5.611111111111112,10.999999999999998,6.583333333333333,6.777777777777779,6.777777777777779,7.166666666666668,5.583333333333335,6.833333333333335,7.555555555555555,5.555555555555556,4.694444444444445,3.8611111111111107
software15,5.722222222222221,11.055555555555554,6.611111111111111,6.888888888888888,6.888888888888888,6.888888888888889,5.583333333333333,6.388888888888888,7.500000000000001,5.888888888888889,4.833333333333334,3.75
software02,4.833333333333333,10.805555555555555,7.6111111111111125,6.888888888888889,6.888888888888889,6.638888888888888,5.888888888888889,6.638888888888889,6.305555555555555,5.527777777777778,4.694444444444445,5.277777777777778
software03,5.861111111111111,11.027777777777777,6.472222222222222,6.694444444444444,6.694444444444444,6.777777777777779,6.694444444444444,6.166666666666668,6.722222222222223,5.777777777777779,4.75,4.361111111111112
software04,5.888888888888889,11.138888888888888,6.500000000000001,6.25,6.25,7.11111111111111,6.527777777777778,6.472222222222222,7.0,5.611111111111112,5.194444444444444,4.055555555555556
software05,5.861111111111111,11.166666666666666,6.722222222222221,6.277777777777779,6.277777777777779,6.888888888888889,6.888888888888888,6.750000000000001,7.027777777777779,5.75,4.833333333333333,3.555555555555556
software06,6.000000000000001,11.222222222222221,7.444444444444445,6.111111111111112,6.111111111111112,6.88888888888889,6.8611111111111125,7.1111111111111125,7.027777777777779,5.083333333333334,4.63888888888889,3.5000000000000004
software07,5.805555555555556,11.222222222222221,7.638888888888889,5.944444444444446,5.944444444444446,7.333333333333334,6.555555555555556,6.38888888888889,7.166666666666666,5.638888888888889,4.555555555555556,3.8055555555555562
software08,6.166666666666669,10.999999999999998,7.388888888888888,6.166666666666668,6.166666666666668,7.472222222222222,6.055555555555556,6.805555555555557,7.111111111111111,5.1944444444444455,4.722222222222223,3.75
software09,6.000000000000001,11.055555555555554,7.13888888888889,6.305555555555557,6.305555555555557,7.222222222222222,6.222222222222221,6.805555555555556,7.333333333333333,5.4444444444444455,4.555555555555555,3.6111111111111107
