paired methods,Wilcoxon p,Cliff's delta,effect size (delta),Wilcoxon r, effect size (r) 
TSPrideWithMotifCoreness-SORA vs. TSPrideWithMotifCoreness-FGCS,0.23451593140124594,0.11864406779661017,negligible,-0.13757278812091994,small
TSPrideWithMotifCoreness-SORA vs. TSPrideWithMotifCoreness-KANG,0.6920600005894495,-0.09090909090909091,negligible,-0.03420485237855062,negligible
