,BiMo-M,BiMo-B,BiMo,,,
1,0,0,0,,0,0
2,0.043552981,0.033766902,0.039322457,,,0.164526642
3,0.065838633,0.059308419,0.072011473,,0.093757111,0.214186354
4,0.097163087,0.081170559,0.092790659,,,0.143156585
5,0.111057043,0.108166676,0.109141335,,,0.009010714
6,0.125987156,0.129656397,0.131971212,,0.04749735,0.017853458
7,0.148878102,0.153654704,0.158284334,,0.063180762,0.03013009
8,0.172362006,0.16702919,0.17489956,,0.014722235,0.047119728
9,0.176734434,0.173716432,0.181444898,,0.02665278,0.044488975
10,0.190880525,0.195804099,0.200411683,,0.049932585,0.023531601
11,0.201378993,0.205732082,0.220933667,,0.097103842,0.073890202
12,0.227456532,0.234869355,0.246415968,,0.083354107,0.049161854
13,0.239586821,0.24824384,0.263244304,,0.098742839,0.060426329
14,0.250646492,0.275311163,0.291487406,,0.162942292,0.058756219
15,0.278744901,0.286471007,0.313045545,,0.123053889,0.092765192
16,0.296547896,0.314060081,0.328335739,,0.107192947,0.045455182
17,0.313069951,0.330209637,0.343510636,,0.097232855,0.040280469
18,0.331184296,0.340186353,0.347571715,,0.049481268,0.021709754
19,0.346143802,0.353859852,0.370009408,,0.068947085,0.045638283
20,0.358435334,0.360032691,0.374639037,,0.045206768,0.040569499
21,0.366097235,0.370009408,0.392491192,,0.072095483,0.060760033
22,0.36841205,0.378869561,0.399435637,,0.084208937,0.054282735
23,0.382741856,0.381828347,0.40918648,,0.069092584,0.071650346
24,0.408726571,0.3974635,0.42168648,,0.031708017,0.060943911
25,0.417728629,0.412665084,0.428618588,,0.026069458,0.038659689
26,0.433202539,0.435543694,0.446218529,,0.030045969,0.024509217
27,0.433202539,0.446549217,0.459311486,,0.060269608,0.028579759
28,0.441469734,0.447523876,0.461217059,,0.044730869,0.030597659
29,0.449558283,0.459198123,0.484966247,,0.078761676,0.056115482
30,0.465842821,0.468114358,0.503967494,,0.081840207,0.07659055
average,0.271421041,0.274967154,0.288885674,,,
,,,,max,0.162942292,0.214186354
,,,,min,0,0
