software,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness,,
software01,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,,
software02,5.833333333,8.5,8.5,6.194444444,6.194444444,6.361111111,6.5,6.5,5.833333333,6.166666667,5.861111111,5.555555556,,1
software03,5.388888889,9.111111111,9.111111111,5.888888889,5.888888889,5.666666667,6.361111111,6.5,6.138888889,6.583333333,5.361111111,6,,1
software04,5.722222222,9.583333333,8.861111111,6.166666667,6.166666667,5.416666667,6.472222222,6.638888889,6.111111111,5.916666667,5.222222222,5.722222222,,1
software05,6.027777778,9.916666667,8.166666667,5.583333333,5.583333333,6.5,5.916666667,7.166666667,6.111111111,6.416666667,5.277777778,5.333333333,,1
software06,5.916666667,10.30555556,7.722222222,5.361111111,5.361111111,6.666666667,6.166666667,6.833333333,6.305555556,6.194444444,5.75,5.416666667,,1
software07,5.416666667,10.38888889,8.472222222,5.083333333,5.083333333,6.833333333,6.166666667,6.305555556,6.75,6.25,5.777777778,5.472222222,,1
software08,5.444444444,10.52777778,8.666666667,5.166666667,5.166666667,6.5,6.416666667,6.444444444,6.333333333,5.861111111,6.194444444,5.277777778,,1
software09,5.472222222,10.66666667,8.055555556,5.694444444,5.694444444,6.305555556,6.194444444,6.75,6.361111111,5.833333333,5.916666667,5.055555556,,
software10,5.916666667,10.75,7.638888889,5.777777778,5.777777778,6.305555556,6.333333333,7.027777778,6.5,5.222222222,5.916666667,4.833333333,,
software11,6.166666667,10.86111111,7.861111111,5.944444444,5.944444444,6.055555556,6.083333333,6.916666667,6.666666667,5.222222222,5.722222222,4.555555556,,
software12,5.666666667,10.66666667,7.194444444,5.916666667,5.916666667,6.027777778,6.527777778,6.916666667,7.138888889,5.805555556,5.472222222,4.75,,
software13,6.166666667,10.66666667,7.5,5.75,5.75,5.944444444,6.777777778,7,7.222222222,6.25,4.5,4.472222222,,
software14,5.555555556,10.72222222,7.25,5.722222222,5.722222222,6.222222222,6.777777778,7.472222222,7.138888889,6.222222222,4.777777778,4.416666667,,
software15,5.444444444,10.75,6.888888889,5.888888889,5.888888889,6.555555556,6.888888889,7.805555556,7.277777778,5.888888889,4.25,4.472222222,,1
software16,4.944444444,10.83333333,7.361111111,5.916666667,5.916666667,6.638888889,7.111111111,7.805555556,7.444444444,5.833333333,4.416666667,3.777777778,,
software17,5.361111111,10.86111111,6.611111111,5.861111111,5.861111111,6.972222222,7.416666667,7.361111111,7.611111111,5.722222222,4.833333333,3.527777778,,
software18,5.416666667,10.88888889,6.611111111,6.138888889,6.138888889,7.055555556,6.972222222,7.194444444,7.194444444,5.944444444,4.861111111,3.583333333,,
software19,5.277777778,11,6.083333333,6.416666667,6.416666667,7.194444444,6.527777778,7.111111111,7.277777778,6.055555556,4.888888889,3.75,,
software20,5.305555556,10.86111111,6.333333333,6.444444444,6.444444444,7.111111111,6.111111111,7.138888889,7.416666667,6.277777778,4.888888889,3.666666667,,
software21,5.361111111,10.86111111,6.083333333,6.722222222,6.722222222,6.861111111,6.055555556,7.194444444,7.5,6.027777778,4.916666667,3.694444444,,
software22,5.416666667,10.88888889,6.305555556,6.972222222,6.972222222,6.75,5.583333333,7.25,7.388888889,5.5,4.916666667,4.055555556,,
software23,5.444444444,10.91666667,6.638888889,6.75,6.75,6.75,5.805555556,6.944444444,7.194444444,5.611111111,4.916666667,4.277777778,,
software24,5,11.05555556,6.5,6.861111111,6.861111111,6.638888889,5.888888889,7.472222222,7.194444444,5.416666667,4.916666667,4.194444444,,
software25,5.138888889,11.05555556,6.638888889,7.083333333,7.083333333,6.472222222,5.666666667,7,7.305555556,5.583333333,5.111111111,3.861111111,,
software26,5.055555556,11.05555556,6.555555556,7.027777778,7.027777778,6.333333333,5.916666667,7.138888889,7.416666667,5.388888889,5.055555556,4.027777778,,
software27,5.333333333,11.05555556,5.861111111,6.888888889,6.888888889,6.444444444,5.861111111,7,7.666666667,5.444444444,5.138888889,4.416666667,,
software28,4.472222222,11.05555556,6.166666667,6.833333333,6.833333333,6.666666667,6.166666667,7.027777778,7.722222222,5.333333333,4.916666667,4.805555556,,
software29,4.555555556,11.08333333,6.277777778,6.861111111,6.861111111,6.416666667,6.194444444,7.083333333,7.555555556,5.277777778,5,4.833333333,,
software30,4.805555556,11.11111111,5.361111111,6.972222222,6.972222222,6.555555556,6.111111111,7.166666667,7.805555556,5.472222222,4.944444444,4.722222222,,
