argouml(12),TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
1%=0.01,0.3333333432674408,0.5,0.5
2%=0.02,0.5,0.75,0.5
3%=0.03,0.75,0.75,0.8333333134651184
4%=0.04,0.9166666865348816,0.9166666865348816,0.9166666865348816
5%=0.05,0.9166666865348816,0.9166666865348816,1.0
6%=0.06,1.0,0.9166666865348816,1.0
7%=0.07,1.0,0.9166666865348816,1.0
8%=0.08,1.0,1.0,1.0
9%=0.09,1.0,1.0,1.0
10%=0.1,1.0,1.0,1.0
11%=0.11,1.0,1.0,1.0
12%=0.12,1.0,1.0,1.0
13%=0.13,1.0,1.0,1.0
14%=0.14,1.0,1.0,1.0
15%=0.15,1.0,1.0,1.0
