xuml(37),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2%=0.02,0.0,0.027027027681469917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3%=0.03,0.0,0.027027027681469917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4%=0.04,0.0,0.0810810774564743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5%=0.05,0.0,0.13513512909412384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6%=0.06,0.0,0.18918919563293457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7%=0.07,0.0,0.2432432472705841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8%=0.08,0.0,0.3243243098258972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9%=0.09,0.0,0.3513513505458832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%=0.1,0.0,0.4054054021835327,0.0,0.0,0.0,0.027027027681469917,0.0,0.0,0.0,0.0,0.0,0.0
11%=0.11,0.0,0.4054054021835327,0.0,0.0,0.0,0.054054055362939835,0.0,0.0,0.0,0.0,0.0,0.0
12%=0.12,0.0,0.4054054021835327,0.027027027681469917,0.0,0.0,0.054054055362939835,0.0,0.0,0.0,0.0,0.0,0.0
13%=0.13,0.0,0.4324324429035187,0.054054055362939835,0.0,0.0,0.054054055362939835,0.0,0.0,0.0,0.0,0.0,0.0
14%=0.14,0.0,0.45945945382118225,0.054054055362939835,0.0,0.0,0.054054055362939835,0.0,0.0,0.0,0.0,0.0,0.0
15%=0.15,0.027027027681469917,0.5135135054588318,0.054054055362939835,0.027027027681469917,0.027027027681469917,0.054054055362939835,0.0,0.0,0.0,0.0,0.027027027681469917,0.027027027681469917
