gwtportlets(27),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.0,0.0,0.0,0.03703703731298447,0.03703703731298447,0.03703703731298447,0.0,0.03703703731298447,0.03703703731298447,0.03703703731298447,0.03703703731298447,0.03703703731298447
2%=0.02,0.0,0.03703703731298447,0.03703703731298447,0.07407407462596893,0.07407407462596893,0.07407407462596893,0.07407407462596893,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.07407407462596893,0.07407407462596893
3%=0.03,0.03703703731298447,0.03703703731298447,0.07407407462596893,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534
4%=0.04,0.07407407462596893,0.03703703731298447,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.14814814925193787,0.14814814925193787,0.1111111119389534,0.14814814925193787,0.14814814925193787,0.14814814925193787
5%=0.05,0.14814814925193787,0.03703703731298447,0.18518517911434174,0.18518517911434174,0.18518517911434174,0.18518517911434174,0.18518517911434174,0.18518517911434174,0.14814814925193787,0.2222222238779068,0.18518517911434174,0.2222222238779068
6%=0.06,0.18518517911434174,0.03703703731298447,0.18518517911434174,0.18518517911434174,0.18518517911434174,0.2222222238779068,0.2222222238779068,0.18518517911434174,0.18518517911434174,0.25925925374031067,0.2222222238779068,0.25925925374031067
7%=0.07,0.2222222238779068,0.03703703731298447,0.18518517911434174,0.2222222238779068,0.2222222238779068,0.2222222238779068,0.2222222238779068,0.18518517911434174,0.18518517911434174,0.25925925374031067,0.25925925374031067,0.25925925374031067
8%=0.08,0.25925925374031067,0.03703703731298447,0.18518517911434174,0.25925925374031067,0.25925925374031067,0.2222222238779068,0.25925925374031067,0.2222222238779068,0.2222222238779068,0.29629629850387573,0.29629629850387573,0.29629629850387573
9%=0.09,0.3333333432674408,0.03703703731298447,0.2222222238779068,0.3333333432674408,0.3333333432674408,0.2222222238779068,0.29629629850387573,0.29629629850387573,0.25925925374031067,0.29629629850387573,0.37037035822868347,0.37037035822868347
10%=0.1,0.3333333432674408,0.07407407462596893,0.2222222238779068,0.37037035822868347,0.37037035822868347,0.2222222238779068,0.29629629850387573,0.29629629850387573,0.29629629850387573,0.3333333432674408,0.37037035822868347,0.40740740299224854
11%=0.11,0.3333333432674408,0.07407407462596893,0.25925925374031067,0.37037035822868347,0.37037035822868347,0.2222222238779068,0.3333333432674408,0.29629629850387573,0.3333333432674408,0.3333333432674408,0.40740740299224854,0.40740740299224854
12%=0.12,0.3333333432674408,0.07407407462596893,0.3333333432674408,0.40740740299224854,0.40740740299224854,0.29629629850387573,0.40740740299224854,0.37037035822868347,0.37037035822868347,0.40740740299224854,0.4444444477558136,0.40740740299224854
13%=0.13,0.3333333432674408,0.07407407462596893,0.37037035822868347,0.40740740299224854,0.40740740299224854,0.29629629850387573,0.4444444477558136,0.37037035822868347,0.40740740299224854,0.4444444477558136,0.4444444477558136,0.40740740299224854
14%=0.14,0.37037035822868347,0.07407407462596893,0.37037035822868347,0.40740740299224854,0.40740740299224854,0.3333333432674408,0.48148149251937866,0.40740740299224854,0.40740740299224854,0.4444444477558136,0.4444444477558136,0.40740740299224854
15%=0.15,0.40740740299224854,0.07407407462596893,0.40740740299224854,0.40740740299224854,0.40740740299224854,0.3333333432674408,0.5185185074806213,0.4444444477558136,0.48148149251937866,0.4444444477558136,0.48148149251937866,0.48148149251937866
